"","X.1","X","metabolite","feature_id","compound_superclass","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_cosine_score","coraldb_mz_error_ppm","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","exact_mass","database","clusterIndex","refined_origin","compound_class","coraldb_compound_name","display_class","XGBoost_Importance","RandomForest_Importance","scler_ubiquity","non_scler_ubiquity","pepmass.x","RT","fatty_acid","compound_name","pepmass.y","LipidClass","total_ubiquity"
"1",1,1,"x19344_800_60417_9_097",19344,"Diacylglyceryl-carboxyhydroxymethylcholines","C46H83NO8","[M + Na]+","C46H83NO8","Fatty acids",0.974953949451446,"Unknown",0.148637712001801,"Unknown",0.11446613073349,"Unknown",0.504600942134857,NA,NA,NA,NA,NA,0.971896,0.762364,"Betaine Lipid","Diacylglyceryl-carboxyhydroxymethylcholines","DGCC",800.603569,"Niarox",75689,"Symbiont","DGCC","DGCC(16:0/22:6) [M+H]+","DGCC",0,0.000135086131860972,100,92.6470588235294,NA,NA,NA,NA,NA,NA,98.0633802816901
"2",2,2,"x3156_482_36064_2_937",3156,"Phosphatidylglycerocholines","C24H52NO6P","[M + H]+","C24H52NO6P","Fatty acids",0.999980807304382,"Glycerophospholipids",0.999315619468689,"Glycerophosphocholines",0.997665047645569,"Glycerophosphocholines",0.957442760467529,0.931122,1.26534,"Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14","Glycerophospholipids","Glycerophosphocholines",0.994773,0.189801,"Phospholipid","Phosphatidylglycerocholines","Lyso-PC(alkyl)",482.36047,"Niarox",30246,"Host","Lyso-PC(alkyl)","Lyso-PC(O-16:0) [M+H]+","Other",0.0021115916,0,100,93.3823529411765,NA,NA,NA,NA,482.3606,"PC",98.4154929577465
"3",3,3,"x19279_643_51751_9_054",19279,"Ceramide aminoethylphosphonates","C38H66N4O4","[M + H]+","C38H66N4O4","Fatty acids",0.989674389362335,"Sphingolipids",0.990752100944519,"Ceramides",0.976433336734772,"Unknown",0.502224445343018,NA,NA,NA,NA,NA,0.878557,0.379385,"Phosphoshingolipids","Ceramide aminoethylphosphonates","CAEP",643.5173,"KARP",122777,"Host","CAEP","CAEP(34:2;O2) [M+H]+","Other",0.002972746,0,100,82.3529411764706,NA,NA,NA,NA,NA,NA,95.5985915492958
"4",4,4,"x6124_510_39212_3_959",6124,"Phosphatidylglycerocholines","C26H56NO6P","[M + H]+","C26H56NO6P","Fatty acids",0.999984383583069,"Glycerophospholipids",0.999425530433655,"Glycerophosphocholines",0.997995853424072,"Glycerophosphocholines",0.950486838817596,0.935098,2.15253,"Spectral Match to Lyso-PAF C-18 from NIST14","N/A","N/A",0.995258,0.538132,"Phospholipid","Phosphatidylglycerocholines","Lyso-PC(alkyl)",510.39187,"Niarox",40924,"Host","Lyso-PC(alkyl)","Lyso-PC(O-18:0) [M+H]+","Other",0,0,100,99.2647058823529,NA,NA,NA,NA,510.3921,"PC",99.8239436619718
"5",5,5,"x1935_553_33175_1_992",1935,"Carotenoids (C40)","C37H44O4","[M + H]+","C37H44O4","Terpenoids",0.996590733528137,"Carotenoids (C40)",0.999058067798614,"Carotenoids (C40, Î²-Î²)",0.977711260318756,"Unknown",0.55423504114151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Carotenoids",NA,"Carotenoids",0,0,98.1308411214953,59.5588235294118,NA,NA,NA,NA,NA,NA,88.7323943661972
"6",6,6,"x29061_872_57546_12_975",29061,"Oligopeptides","C43H73N11O8","[M + H]+","C43H73N11O8","Amino acids and Peptides",0.98906135559082,"Oligopeptides",0.933528959751129,"Unknown",0.617409825325012,"Unknown",0.684743046760559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,99.5327102803738,88.9705882352941,NA,NA,NA,NA,NA,NA,97.0070422535211
"7",7,7,"x25808_746_60638_12_152",25808,"Glycerophospholipids","C42H84NO7P","[M + H]+","C42H84NO7P","Fatty acids",0.999928832054138,"Glycerophospholipids",0.998039543628693,"Glycerophosphocholines",0.999464809894562,"1-alkyl,2-acylglycero-3-phosphocholines",0.886991441249847,0.916826,5.88604,"Spectral Match to 1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Both","Glycerophosphocholines",NA,"Glycerophosphocholines",0,3.62655484621534e-05,98.8317757009346,95.5882352941177,NA,NA,NA,NA,746.6064,"PC",97.887323943662
"8",8,8,"x26021_752_55957_12_218",26021,"Phosphatidylglyceroethanolamines","C45H73N3O6","[M + H]+","C45H73N3O6","Unknown",0.72005707025528,"Unknown",0.227148041129112,"Unknown",0.131923899054527,"Unknown",0.765769064426422,NA,NA,NA,NA,NA,0.914936,0.892138,"Phospholipid","Phosphatidylglyceroethanolamines","PE (mono-alkyl-mono-acyl)",752.5589,"Niarox",90262,"Host","PE (mono-alkyl-mono-acyl)","PE(O-38:5) [M+H]+","Other",0.0018198426,0.000426020019277933,99.7663551401869,66.1764705882353,NA,NA,NA,NA,NA,NA,91.5492957746479
"9",9,9,"x7916_298_31064_4_523",7916,"Unknown","C19H39NO","[M + H]+","C19H39NO","Unknown",0.537106156349182,"Unknown",0.4488924741745,"Unknown",0.379709929227829,"Unknown",0.639891147613525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,100,100,NA,NA,NA,NA,NA,NA,100
"10",10,10,"x14914_354_37285_7_258",14914,"Unknown","C23H47NO","[M + H]+","C23H47NO","Unknown",0.71802693605423,"Unknown",0.605586469173431,"Unknown",0.358005464076996,"Unknown",0.647340655326843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,6.22035543533187e-06,99.2990654205608,99.2647058823529,354.37285,7.258,"O-18:0",NA,NA,NA,99.2957746478873
"11",11,11,"x39288_846_75538_15_912",39288,"Triacylglycerols","C51H101NO6","[M + Na]+","C51H101NO6","Fatty acids",0.999801337718964,"Glycerolipids",0.991210579872131,"Triacylglycerols",0.996695756912231,"Unknown",0.669820606708527,NA,NA,NA,NA,NA,0.882622,2.01828,"Glycerolipid","Triacylglycerols","Triacylglycerols",846.75367,"Niarox",115847,"Both","TAG","TAG(16:0/16:0/18:3) [M+NH4]+","TAG",0,0.000468869247231118,81.0747663551402,0,846.75538,15.912,"16:0","TAG(16:0/16:0/18:3) [M+NH4]+",NA,NA,61.0915492957746
"12",12,12,"x2457_496_33999_2_452",2457,"Phosphatidylglycerocholines","C24H50NO7P","[M + H]+","C24H50NO7P","Fatty acids",0.997892796993256,"Glycerophospholipids",0.999884724617004,"Glycerophosphocholines",0.997449100017548,"1-acyl-sn-glycero-3-phosphocholines",0.929004848003388,0.953221,0,"1-Palmitoylglycerophosphocholine","Glycerophospholipids","Glycerophosphocholines",0.989371,0.368912,"Phospholipid","Phosphatidylglycerocholines","Lyso-PC(acyl)",496.339735,"Niarox",25015,"Both","Lyso-PC(acyl)","Lyso-PC(16:0) [M+H]+","Lyso-PC(acyl)",0,4.40851772382319e-05,100,94.1176470588235,NA,NA,NA,NA,496.34,"PC",98.5915492957747
"13",13,13,"x4782_524_37152_3_571",4782,"Phosphatidylglycerocholines","C26H54NO7P","[M + H]+","C26H54NO7P","Fatty acids",0.997793674468994,"Glycerophospholipids",0.999913215637207,"Glycerophosphocholines",0.999063432216644,"1-acyl-sn-glycero-3-phosphocholines",0.948574960231781,0.927199,8.61344,"Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14","N/A","N/A",0.992036,0.814778,"Phospholipid","Phosphatidylglycerocholines","Lyso-PC(acyl)",524.371135,"Niarox",36580,"Both","Lyso-PC(acyl)","Lyso-PC(18:0) [M+H]+","Lyso-PC(acyl)",0,1.36710842004795e-05,100,94.1176470588235,NA,NA,NA,NA,524.3715,"PC",98.5915492957747
"14",14,14,"x2684_522_30741_2_622",2684,"Unknown","C28H43NO8","[M + H]+","C28H43NO8","Terpenoids",0.889072239398956,"Unknown",0.711861789226532,"Unknown",0.167305052280426,"Diterpenoids",0.97426027059555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,0,2.94117647058824,NA,NA,NA,NA,NA,NA,0.704225352112676
"15",15,15,"x11271_786_51583_5_708",11271,"Monogalactosyldiacylglycerol","C43H73NO10","[M + Na]+","C43H73NO10","Fatty acids",0.991595208644867,"Unknown",0.815008938312531,"Unknown",0.0987018123269081,"Unknown",0.547727644443512,NA,NA,NA,NA,NA,0.920626,0.931224,"Galactolipid","Monogalactosyldiacylglycerol","MGDG",786.5151,"Niarox",53317,"Symbiont","MGDG","MGDG(18:4/18:5) [M+NH4]+","MGDG",0,0.000100143322903872,97.8971962616822,61.0294117647059,NA,NA,NA,NA,NA,NA,88.9084507042253
"16",16,16,"x22285_536_50395_10_6",22285,"Sphingolipids","C34H65NO3","[M + H]+","C34H65NO3","Fatty acids",0.99968433380127,"Sphingolipids",0.997645914554596,"Ceramides",0.997818827629089,"Ceramides",0.999911785125732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Ceramides",NA,"Ceramides",0,0,100,88.9705882352941,NA,NA,NA,NA,NA,NA,97.3591549295775
"17",17,17,"x28976_812_66148_12_988",28976,"Sphingolipids","C47H89NO9","[M + H]+","C47H89NO9","Fatty acids",0.997980177402496,"Sphingolipids",0.999466955661774,"Neutral glycosphingolipids",0.999634385108948,"Glycosyl-N-acylsphingosines",0.864445686340332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Neutral GSL",NA,"Neutral GSL",0,0,99.5327102803738,72.7941176470588,NA,NA,NA,NA,NA,NA,92.9577464788732
"18",18,18,"x19132_750_58779_8_989",19132,"Diacylglyceryl-carboxyhydroxymethylcholines","C42H81NO8","[M + Na]+","C42H81NO8","Fatty acids",0.984981060028076,"Unknown",0.113158576190472,"Unknown",0.774935185909271,"Unknown",0.613456130027771,NA,NA,NA,NA,NA,0.971905,0.325266,"Betaine Lipid","Diacylglyceryl-carboxyhydroxymethylcholines","DGCC",750.587569,"Niarox",75461,"Symbiont","DGCC","DGCC(16:0/18:3) [M+H]+","DGCC",0,0,92.2897196261682,50.7352941176471,NA,NA,NA,NA,NA,NA,82.2183098591549
"19",19,19,"x39151_896_77192_15_839",39151,"Triacylglycerols","C55H103NO6","[M + Na]+","C55H103NO6","Fatty acids",0.999983191490173,"Glycerolipids",0.946469128131866,"Triacylglycerols",0.986405909061432,"Triacylglycerols",0.924888372421265,NA,NA,NA,NA,NA,0.779031,3.74337,"Glycerolipid","Triacylglycerols","Triacylglycerols",896.76853,"Niarox",114684,"Both","TAG","TAG(16:0/16:0/22:6) [M+NH4]+","TAG",0,0,82.4766355140187,36.7647058823529,896.77192,15.839,"16:0","TAG(16:0/16:0/22:6) [M+NH4]+",NA,NA,71.4788732394366
"20",20,20,"x22281_518_49367_10_602",22281,"Sphingolipids","C34H63NO2","[M + H]+","C34H63NO2","Fatty acids",0.998386263847351,"Sphingolipids",0.993455946445465,"Ceramides",0.996395885944366,"Ceramides",0.997822642326355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Ceramides",NA,"Ceramides",0,0.000445652697934496,99.7663551401869,80.8823529411765,NA,NA,NA,NA,NA,NA,95.0704225352113
"21",21,21,"x1934_631_36289_1_989",1934,"Carotenoids (C40)","C39H50O7","[M + H]+","C39H50O7","Terpenoids",0.998563468456268,"Carotenoids (C40)",0.942511200904846,"Carotenoids (C40, Î²-Î²)",0.978700697422028,"Unknown",0.50606095790863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Carotenoids",NA,"Carotenoids",0,7.81385750181978e-05,95.0934579439252,49.2647058823529,NA,NA,NA,NA,NA,NA,83.9788732394366
"22",22,22,"x20887_782_5699_9_886",20887,"Glycerophospholipids","C44H80NO8P","[M + H]+","C44H80NO8P","Fatty acids",0.999783456325531,"Glycerophospholipids",0.999370157718658,"Glycerophosphocholines",0.993484795093536,"Phosphatidylcholines",0.986696302890778,0.92553,1.40388,"Spectral Match to 1,2-Dilinoleoyl-sn-glycero-3-phosphocholine from NIST14","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,NA,NA,NA,NA,"Both","Glycerophosphocholines",NA,"Glycerophosphocholines",0,0,98.1308411214953,91.9117647058823,NA,NA,NA,NA,782.5699,"PC",96.4788732394366
"23",23,23,"x14538_872_60438_7_095",14538,"Diacylglyceryl-carboxyhydroxymethylcholines","C52H83NO8","[M + Na]+","C52H83NO8","Fatty acids",0.909608602523804,"Unknown",0.0745647400617599,"Unknown",0.0726588070392609,"Unknown",0.800668120384216,NA,NA,NA,NA,NA,0.973697,0.769406,"Betaine Lipid","Diacylglyceryl-carboxyhydroxymethylcholines","DGCC",872.603719,"Niarox",63104,"Symbiont","DGCC","DGCC(22:6/22:6) [M+H]+","DGCC",0,6.10452369906029e-05,98.8317757009346,75.7352941176471,NA,NA,NA,NA,NA,NA,93.1338028169014
"24",24,24,"x26380_784_62973_12_327",26380,"Hexosylceramides","C45H85NO9","[M + H]+","C45H85NO9","Fatty acids",0.998331129550934,"Sphingolipids",0.999567091464996,"Neutral glycosphingolipids",0.999632477760315,"Unknown",0.80893748998642,NA,NA,NA,NA,NA,0.794859,0,"Neutral Glycosphingolipids","Hexosylceramides","HexCer",784.6297,"Niarox",95071,"Host","HexCer","HexCer(39:2;O3) [M+H]+","Other",0,0,100,86.7647058823529,NA,NA,NA,NA,NA,NA,96.6549295774648
"25",25,25,"x29662_871_57509_13_138",29662,"Unknown","C48H79N4O8P","[M + H]+","C48H79N4O8P","Unknown",0.500537037849426,"Unknown",0.247539415955544,"Unknown",0.11104940623045,"Unknown",0.625932216644287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,99.0654205607477,83.0882352941177,NA,NA,NA,NA,NA,NA,95.2464788732394
"26",26,26,"x1941_613_35232_1_994",1941,"Carotenoids (C40)","C39H48O6","[M + H]+","C39H48O6","Terpenoids",0.994016408920288,"Carotenoids (C40)",0.96757310628891,"Carotenoids (C40, Î²-Î²)",0.962730407714844,"Unknown",0.501947164535522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Carotenoids",NA,"Carotenoids",0,0,92.7570093457944,48.5294117647059,NA,NA,NA,NA,NA,NA,82.0422535211268
"27",27,27,"x12235_963_83336_6_115",12235,"Unknown","C24H29I4N3O6","[M + H]+","C24H29I4N3O6","Unknown",0.669440150260925,"Unknown",0.714359045028687,"Unknown",0.0617530830204487,"Unknown",0.790057420730591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,0,2.94117647058824,NA,NA,NA,NA,NA,NA,0.704225352112676
"28",28,28,"x17833_774_58833_8_428",17833,"Diacylglyceryl-carboxyhydroxymethylcholines","C44H81NO8","[M + Na]+","C44H81NO8","Fatty acids",0.965233504772186,"Unknown",0.0755034685134888,"Unknown",0.33218988776207,"Unknown",0.511102974414825,NA,NA,NA,NA,NA,0.972867,0.709173,"Betaine Lipid","Diacylglyceryl-carboxyhydroxymethylcholines","DGCC",774.587769,"Niarox",72299,"Symbiont","DGCC","DGCC(16:0/20:5) [M+H]+","DGCC",0,0,93.6915887850467,68.3823529411765,NA,NA,NA,NA,NA,NA,87.5
"29",29,29,"x39152_924_79895_15_844",39152,"Unknown","C42H25Br5","[M + H]+","C42H25Br5","Unknown",0.44669497013092,"Unknown",0.350404173135757,"Unknown",0.67223060131073,"Unknown",0.714421153068542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,81.0747663551402,0,NA,NA,NA,NA,NA,NA,61.0915492957746
"30",30,30,"x6230_466_32962_3_999",6230,"Unknown","C23H48NO6P","[M + H]+","C23H48NO6P","Fatty acids",0.999787628650665,"Unknown",0.795124292373657,"Unknown",0.64320433139801,"Unknown",0.713779866695404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,1.44722009614012e-05,100,80.8823529411765,NA,NA,NA,NA,NA,NA,95.2464788732394
"31",31,31,"x37328_918_7549_15_129",37328,"Triacylglycerols","C54H99N3O8","[M + H]+","C54H99N3O8","Unknown",0.637315511703491,"Unknown",0.701968669891357,"Unknown",0.548064768314362,"Unknown",0.626713633537292,NA,NA,NA,NA,NA,0.878189,5.31463,"Glycerolipid","Triacylglycerols","Triacylglycerols",918.75003,"Niarox",110915,"Both","TAG","TAG(18:3/18:3/20:3) [M+NH4]+","TAG",0.026307894,0.000914594771472223,82.0093457943925,0,918.7549,15.129,"22:6","TAG(18:3/18:3/20:3) [M+NH4]+",NA,NA,61.7957746478873
"32",32,32,"x39847_822_75508_16_151",39847,"Triacylglycerols","C47H95N7O4","[M + H]+","C47H95N7O4","Fatty acids",0.988396465778351,"Unknown",0.833619236946106,"Unknown",0.83506566286087,"Fatty acid esters",0.973231554031372,NA,NA,NA,NA,NA,0.873924,2.37389,"Glycerolipid","Triacylglycerols","Triacylglycerols",822.75316,"Niarox",116827,"Both","TAG","TAG(16:0/16:0/16:1) / TAG(16:0/14:0/18:1) [M+NH4]+","TAG",0,0.00119868965328775,81.7757009345794,0,822.75508,16.151,"14:0","TAG(16:0/16:0/16:1) / TAG(16:0/14:0/18:1) [M+NH4]+",NA,NA,61.6197183098592
"33",33,33,"x28888_873_57794_12_975",28888,"Oligopeptides","C43H78N8O9","[M + Na]+","C43H78N8O9","Amino acids and Peptides",0.983660459518433,"Oligopeptides",0.973922729492188,"Cyclic peptides",0.890235424041748,"Unknown",0.600394427776337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Cyclic peptides",NA,"Cyclic peptides",0,3.31294985217541e-05,99.2990654205608,84.5588235294118,NA,NA,NA,NA,NA,NA,95.7746478873239
"34",34,34,"x39888_848_77057_16_173",39888,"Triacylglycerols","C51H103NO6","[M + Na]+","C51H103NO6","Fatty acids",0.999645113945007,"Glycerolipids",0.991587817668915,"Triacylglycerols",0.999441206455231,"Triacylglycerols",0.982820391654968,NA,NA,NA,NA,NA,0.846685,2.01349,"Glycerolipid","Triacylglycerols","Triacylglycerols",848.7659,"Niarox",114997,"Both","TAG","TAG(16:0/16:0/18:2) [M+NH4]+","TAG",0,0.000414530070285714,81.3084112149533,0,848.77057,16.173,"16:0","TAG(16:0/16:0/18:2) [M+NH4]+",NA,NA,61.2676056338028
"35",35,35,"x40661_850_7868_16_556",40661,"Triacylglycerols","C51H105NO6","[M + Na]+","C51H105NO6","Fatty acids",0.999883770942688,"Glycerolipids",0.997414469718933,"Triacylglycerols",0.999907732009888,"Triacylglycerols",0.975674033164978,NA,NA,NA,NA,NA,0.820402,2.72611,"Glycerolipid","Triacylglycerols","Triacylglycerols",850.78449,"Niarox",118172,"Both","TAG","TAG(16:0/16:0/18:1) [M+NH4]+","TAG",0,0.00130362579569925,84.1121495327103,0,850.7868,16.556,"16:0","TAG(16:0/16:0/18:1) [M+NH4]+",NA,NA,63.3802816901408
"36",36,36,"x1507_562_37446_1_671",1507,"Diacylglyceryl-carboxyhydroxymethylcholines","C32H51NO7","[M + H]+","C32H51NO7","Unknown",0.291518777608871,"Unknown",0.305143922567368,"Unknown",0.155002728104591,"Unknown",0.705445885658264,0.922239,0.86825,"Lyso DGCC (22:6)","N/A","N/A",0.98436,0.325594,"Betaine Lipid","Diacylglyceryl-carboxyhydroxymethylcholines","Lyso-DGCC",562.3743,"Niarox",14596,"Symbiont","Lyso-DGCC","Lyso-DGCC(22:6) [M+H]+","Other",0,0,90.8878504672897,68.3823529411765,NA,NA,NA,NA,NA,NA,85.387323943662
"37",37,37,"x39291_874_78344_15_911",39291,"Triacylglycerols","C55H103NO6","[M + H]+","C55H103NO6","Fatty acids",0.99655544757843,"Glycerolipids",0.991116404533386,"Triacylglycerols",0.99986743927002,"Triacylglycerols",0.977892696857452,NA,NA,NA,NA,NA,0.770704,3.20951,"Glycerolipid","Triacylglycerols","Triacylglycerols",874.78057,"Niarox",115166,"Both","TAG","TAG(16:0/18:1/18:2) [M+NH4]+","TAG",0,0.000449291361774042,81.0747663551402,0,874.78344,15.911,"16:1","TAG(16:0/18:1/18:2) [M+NH4]+",NA,NA,61.0915492957746
"38",38,38,"x2228_632_46435_2_237",2228,"Oligopeptides","C36H61N3O6","[M + H]+","C36H61N3O6","Polyketides",0.986722350120544,"Oligopeptides",0.894126296043396,"Depsipeptides",0.930395543575287,"Unknown",0.798488140106201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Depsipeptides",NA,"Other",0,0,0,2.20588235294118,NA,NA,NA,NA,NA,NA,0.528169014084507
"39",39,39,"x11404_976_60001_5_769",11404,"Digalactosyldiacylglycerol","C53H85NO15","[M + H]+","C53H85NO15","Fatty acids",0.981612682342529,"Glycerolipids",0.957522571086884,"Glycosyldiacylglycerols",0.938432931900024,"Unknown",0.506065547466278,NA,NA,NA,NA,NA,0.90946,0.687474,"Galactolipid","Digalactosyldiacylglycerol","DGDG",976.5993,"Niarox",54003,"Symbiont","DGDG","DGDG(18:4/20:5) [M+NH4]+","Other",0,0,93.9252336448598,52.9411764705882,NA,NA,NA,NA,NA,NA,83.9788732394366
"40",40,40,"x3334_676_42012_3_03",3334,"Unknown","C37H53N7O5","[M + H]+","C37H53N7O5","Unknown",0.529192984104156,"Unknown",0.660089552402496,"Unknown",0.116370506584644,"Unknown",0.703429400920868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA,"Unknown",0,0,94.8598130841121,50.7352941176471,NA,NA,NA,NA,NA,NA,84.1549295774648
"41",41,41,"x23174_724_5283_11_167",23174,"Phosphatidylglyceroethanolamines","C43H69N3O6","[M + H]+","C43H69N3O6","Unknown",0.626725971698761,"Unknown",0.188465714454651,"Unknown",0.166099399328232,"Unknown",0.620258569717407,NA,NA,NA,NA,NA,0.912693,1.0109,"Phospholipid","Phosphatidylglyceroethanolamines","PE (mono-alkyl-mono-acyl)",724.5276,"KARP",145224,"Host","PE (mono-alkyl-mono-acyl)","PE(O-36:5) [M+H]","Other",0,2.25183411937296e-05,97.4299065420561,52.9411764705882,NA,NA,NA,NA,NA,NA,86.6197183098592
"42",42,42,"x3283_553_33115_3_028",3283,"Carotenoids (C40)","C37H44O4","[M + H]+","C37H44O4","Terpenoids",0.994034707546234,"Carotenoids (C40)",0.997729241847992,"Carotenoids (C40, Î²-Î²)",0.979401171207428,"Unknown",0.722878456115723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Carotenoids",NA,"Carotenoids",0,0.000461869710401673,96.7289719626168,54.4117647058823,NA,NA,NA,NA,NA,NA,86.443661971831
"43",43,43,"x21086_645_53352_9_984",21086,"Ceramide aminoethylphosphonates","C38H68N4O4","[M + H]+","C38H68N4O4","Fatty acids",0.997931361198425,"Sphingolipids",0.998773396015167,"Ceramides",0.999070882797241,"Ceramides",0.99999475479126,NA,NA,NA,NA,NA,0.910632,0.7564,"Phosphoshingolipids","Ceramide aminoethylphosphonates","CAEP",645.533,"KARP",133370,"Both","CAEP","CAEP(34:1;O2) [M+H]+","Other",0,0,97.4299065420561,75,NA,NA,NA,NA,NA,NA,92.0774647887324
"44",44,44,"x11192_791_46977_5_681",11192,"Carotenoids (C40)","C54H62O5","[M + H]+","C54H62O5","Terpenoids",0.9839026927948,"Carotenoids (C40)",0.99329149723053,"Unknown",0.453854739665985,"Unknown",0.63267457485199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA,"Unknown",0,4.03151089372882e-05,98.5981308411215,69.8529411764706,NA,NA,NA,NA,NA,NA,91.5492957746479
"45",45,45,"x3192_1315_95132_2_96",3192,"Unknown","C80H130O14","[M + H]+","C80H130O14","Unknown",0.41709765791893,"Unknown",0.099249005317688,"Unknown",0.170656785368919,"Unknown",0.801180481910706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,0,2.20588235294118,NA,NA,NA,NA,NA,NA,0.528169014084507
"46",46,46,"x37978_894_75516_15_378",37978,"Triacylglycerols","C55H101NO6","[M + Na]+","C55H101NO6","Fatty acids",0.998518526554108,"Unknown",0.50836569070816,"Triacylglycerols",0.85606861114502,"N-acyl amines",0.952797591686249,NA,NA,NA,NA,NA,0.762002,2.11465,"Glycerolipid","Triacylglycerols","Triacylglycerols",894.75327,"Niarox",113459,"Both","TAG","TAG(16:0/16:1/22:6) / (16:0/18:3/20:4) [M+NH4]+","TAG",0.012145267,0.000838331062333649,81.3084112149533,5.14705882352941,894.75516,15.378,"22:6","TAG(16:0/16:1/22:6) / (16:0/18:3/20:4) [M+NH4]+",NA,NA,62.5
"47",47,47,"x39976_874_78599_16_215",39976,"Triacylglycerols","C50H97N11","[M + Na]+","C50H97N11","Alkaloids",0.97166234254837,"Unknown",0.408932060003281,"Unknown",0.164258867502213,"Heteroaromatic compounds",0.965584635734558,NA,NA,NA,NA,NA,0.76008,6.2097,"Glycerolipid","Triacylglycerols","Triacylglycerols",874.78057,"Niarox",115166,"Both","TAG","TAG(16:0/18:1/18:2) [M+NH4]+","TAG",0,0.000465936178898026,81.0747663551402,0,874.78599,16.215,"16:0","TAG(16:0/18:1/18:2) [M+NH4]+",NA,NA,61.0915492957746
"48",48,48,"x39261_872_77072_15_898",39261,"Triacylglycerols","C53H103NO6","[M + Na]+","C53H103NO6","Fatty acids",0.999675869941711,"Glycerolipids",0.987564384937286,"Triacylglycerols",0.99934846162796,"Triacylglycerols",0.98138028383255,NA,NA,NA,NA,NA,0.774464,3.42671,"Glycerolipid","Triacylglycerols","Triacylglycerols",872.7677,"Niarox",115311,"Both","TAG","TAG(16:0/18:2/18:2) [M+NH4]+","TAG",0,0,81.5420560747664,2.94117647058824,872.77072,15.898,"16:0","TAG(16:0/18:2/18:2) [M+NH4]+",NA,NA,62.1478873239437
"49",49,49,"x38158_844_73924_15_454",38158,"Triacylglycerols","C51H99NO6","[M + Na]+","C51H99NO6","Fatty acids",0.999388694763184,"Glycerolipids",0.970704197883606,"Triacylglycerols",0.989700078964233,"Unknown",0.598007261753082,NA,NA,NA,NA,NA,0.843476,3.39591,"Glycerolipid","Triacylglycerols","Triacylglycerols",844.73631,"Niarox",113271,"Both","TAG","TAG(16:0/16:1/18:3) / TAG(14:0/18:1/18:3) [M+NH4]+","TAG",0,0.000570916497638401,81.0747663551402,0,844.73924,15.454,"18:3","TAG(16:0/16:1/18:3) / TAG(14:0/18:1/18:3) [M+NH4]+",NA,NA,61.0915492957746
