"","X.1","X","metabolite","feature_id","compound_superclass","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_cosine_score","coraldb_mz_error_ppm","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","exact_mass","database","clusterIndex","refined_origin","compound_class","coraldb_compound_name","display_class","XGBoost_Importance","RandomForest_Importance","scler_ubiquity","non_scler_ubiquity","pepmass.x","RT","fatty_acid","compound_name","pepmass.y","LipidClass","total_ubiquity"
"8932",8932,8932,"x10695_696_42711_5_589",10695,"Unknown","C44H57NO6","[M + H]+","C44H57NO6","Unknown",0.498684644699097,"Unknown",0.448918759822845,"Unknown",0.138336077332497,"Unknown",0.515973150730133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,0,3.73831775700935,0.735294117647059,NA,NA,NA,NA,NA,NA,2.99295774647887
"8933",8933,8933,"x21385_850_63225_10_162",21385,"Glycerophospholipids","C49H88NO8P","[M + H]+","C49H88NO8P","Fatty acids",0.999491333961487,"Glycerophospholipids",0.999285757541656,"Glycerophosphocholines",0.998859763145447,"Phosphatidylcholines",0.993914783000946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Glycerophosphocholines",NA,"Glycerophosphocholines",0,0,22.4299065420561,27.2058823529412,NA,NA,NA,NA,850.6323,"PC",23.4154929577465
"8934",8934,8934,"x1315_436_30622_1_535",1315,"Unknown","C20H37BN6O4","[M + H]+","C20H37BN6O4","Unknown",0.457156717777252,"Unknown",0.617555379867554,"Unknown",0.106084458529949,"Unknown",0.791522800922394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA,"Unknown",0,0,9.57943925233645,35.2941176470588,NA,NA,NA,NA,NA,NA,15.669014084507
"8935",8935,8935,"x3716_349_27368_3_164",3716,"Diterpenoids","C22H36O3","[M + H]+","C22H36O3","Terpenoids",0.979587554931641,"Diterpenoids",0.955120205879211,"Cembrane diterpenoids",0.880123436450958,"Diterpenoids",0.862132430076599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Cembrane diterpenoids",NA,"Other",0,0,42.9906542056075,30.1470588235294,NA,NA,NA,NA,NA,NA,39.612676056338
"8936",8936,8936,"x33034_736_64452_13_877",33034,"Glycerolipids","C45H85NO6","[M + H]+","C45H85NO6","Fatty acids",0.998599708080292,"Glycerolipids",0.983397960662842,"Triacylglycerols",0.999495387077332,"Triacylglycerols",0.988872945308685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","TAG",NA,"TAG",0,0,42.0560747663551,33.0882352941176,736.64452,13.877,"18:2",NA,NA,NA,39.7887323943662
"8937",8937,8937,"x5513_772_53873_3_772",5513,"Oligopeptides","C38H73N7O7S","[M + H]+","C38H73N7O7S","Unknown",0.724160552024841,"Oligopeptides",0.853613197803497,"Unknown",0.572998821735382,"Oligopeptides",0.851683259010315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA,"Unknown",0,0,28.0373831775701,12.5,NA,NA,NA,NA,NA,NA,24.1197183098592
"8938",8938,8938,"x30718_657_5829_13_384",30718,"Glycerolipids","C43H76O4","[M + H]+","C43H76O4","Fatty acids",0.999774634838104,"Glycerolipids",0.999250710010529,"Diacylglycerols",0.981420814990997,"1,2-diacylglycerols",0.96943336725235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","DAG",NA,"DAG",0,0,55.3738317757009,20.5882352941176,NA,NA,NA,NA,NA,NA,46.6549295774648
"8939",8939,8939,"x37211_729_61858_15_102",37211,"Unknown","C50H80O3","[M + H]+","C50H80O3","Terpenoids",0.991068959236145,"Unknown",0.690280735492706,"Unknown",0.298922777175903,"Unknown",0.770634472370148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,19.392523364486,22.0588235294118,NA,NA,NA,NA,NA,NA,19.8943661971831
"8940",8940,8940,"x25017_521_49025_11_921",25017,"Unknown","C32H66O3","[M + Na]+","C32H66O3","Fatty acids",0.941716372966766,"Unknown",0.648194193840027,"Unknown",0.518435776233673,"Unknown",0.580542266368866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,28.7383177570093,1.47058823529412,NA,NA,NA,NA,NA,NA,22.0070422535211
"8941",8941,8941,"x3715_625_26521_3_189",3715,"Unknown","C33H41N2O8P","[M + H]+","C33H41N2O8P","Unknown",0.31458243727684,"Unknown",0.511858463287354,"Unknown",0.223773449659348,"Unknown",0.718564927577972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA,"Unknown",0,0,23.3644859813084,19.8529411764706,NA,NA,NA,NA,NA,NA,22.7112676056338
"8942",8942,8942,"x8259_453_35841_4_585",8259,"Steroids","C27H48O5","[M + H]+","C27H48O5","Unknown",0.360236436128616,"Steroids",0.925264596939087,"Unknown",0.614036560058594,"Hydroxy bile acids, alcohols and derivatives",0.884925425052643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,9.57943925233645,7.35294117647059,NA,NA,NA,NA,NA,NA,8.97887323943662
"8943",8943,8943,"x38926_1005_77846_15_718",38926,"Glycerolipids","C62H110O4S2","[M + Na]+","C62H110O4S2","Fatty acids",0.999997615814209,"Glycerolipids",0.998687446117401,"Triacylglycerols",0.996220767498016,"Triradylcglycerols",0.99897962808609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","TAG",NA,"TAG",0,0,42.7570093457944,0,NA,NA,NA,NA,NA,NA,32.2183098591549
"8944",8944,8944,"x5576_407_31483_3_736",5576,"Unknown","C25H42O4","[M + H]+","C25H42O4","Terpenoids",0.864934146404266,"Unknown",0.639673352241516,"Unknown",0.174176871776581,"Unknown",0.788015961647034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,55.1401869158878,19.1176470588235,NA,NA,NA,NA,NA,NA,46.1267605633803
"8945",8945,8945,"x17673_786_59976_8_329",17673,"Glycerophospholipids","C44H84NO8P","[M + H]+","C44H84NO8P","Fatty acids",0.999910831451416,"Glycerophospholipids",0.99977046251297,"Glycerophosphocholines",0.998367488384247,"Phosphatidylcholines",0.987773478031158,0.896605,2.79336,"Spectral Match to 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Glycerophosphocholines",NA,"Glycerophosphocholines",0,0,50.2336448598131,37.5,NA,NA,NA,NA,786.5998,"PC",47.3591549295775
"8946",8946,8946,"x36927_752_67684_14_99",36927,"Unknown","C46H89NO6","[M + H]+","C46H89NO6","Fatty acids",0.919831454753876,"Unknown",0.635360717773438,"Unknown",0.198909670114517,"N-acyl amines",0.940872132778168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,40.6542056074766,0,NA,NA,NA,NA,NA,NA,30.6338028169014
"8947",8947,8947,"x21056_673_5281_9_974",21056,"Ceramide Phosphoethanolamines","C39H68N4O5","[M + H]+","C39H68N4O5","Fatty acids",0.880066096782684,"Unknown",0.642985463142395,"Ceramides",0.877755343914032,"Unknown",0.780368447303772,NA,NA,NA,NA,NA,0.845953,0.27186,"Phosphoshingolipids","Ceramide Phosphoethanolamines","CerPE",673.5279,"KARP",128702,"Host","CerPE","CerPE(35:2;O2) [M+H]","Other",0,0,19.392523364486,5.88235294117647,NA,NA,NA,NA,NA,NA,16.0211267605634
"8948",8948,8948,"x12182_680_54606_6_082",12182,"Fatty esters","C40H73NO7","[M + H]+","C40H73NO7","Fatty acids",0.985528528690338,"Fatty esters",0.899562478065491,"Unknown",0.706625282764435,"Unknown",0.769017279148102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,37.8504672897196,19.8529411764706,NA,NA,NA,NA,NA,NA,33.4507042253521
