metabolite,pepmass,RT,fatty_acid,feature_id,compound_class,compound_name,molecular_formula,adduct,precursor_formula,npc_number_pathway,npc_number_pathway_probability,npc_number_superclass,npc_number_superclass_probability,npc_number_class,npc_number_class_probability,classy_fire_number_most_specific_class,classy_fire_number_most_specific_class_probability,gnps_cosine_score,gnps_mz_error_ppm,gnps_compound_name,gnps_compound_class,gnps_compound_subclass,coraldb_compound_family,coraldb_compound_superclass,coraldb_compound_class,coraldb_compound_name
x37493_794_72212_15_188,794.72212,15.188,18:1,37493,Triacylglycerols,TAG(14:0/16:0/16:1) / TAG(14:0/14:0/18:1) [M+NH4]+,C45H91N7O4,[M + H]+,C45H91N7O4,Fatty acids,0.9332886338233948,Unknown,0.18018610775470736,Unknown,0.05077216401696205,Unknown,0.7192853093147278,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/16:0/16:1) / TAG(14:0/14:0/18:1) [M+NH4]+
x41194_904_83387_16_917,904.83387,16.917,18:1,41194,Triacylglycerols,TAG(16:0/16:0/22:2) [M+NH4]+,C57H109NO6,[M + H]+,C57H109NO6,Fatty acids,0.9996342658996582,Glycerolipids,0.997816801071167,Triacylglycerols,0.9999889135360718,Triacylglycerols,0.993874490261078,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(16:0/16:0/22:2) [M+NH4]+
x37174_820_73886_15_098,820.73886,15.098,18:1,37174,Triacylglycerols,TAG(14:0/16:1/18:1) / TAG(14:0/16:0/18:2) [M+NH4]+,C49H99NO6,[M + Na]+,C49H99NO6,Fatty acids,0.9996204376220704,Glycerolipids,0.9928144812583924,Triacylglycerols,0.9993056058883668,Triacylglycerols,0.9920797944068908,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/16:1/18:1) / TAG(14:0/16:0/18:2) [M+NH4]+
x38690_910_8219_15_662,910.8219,15.662,18:1,38690,MADAG,MADAG(56:6) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Monoalkyldiacylglycerols,MADAG,MADAG(56:6) [M+NH4]+
x38012_848_7693_15_368,848.7693,15.368,18:1,38012,Triacylglycerols,TAG(16:0/16:0/18:2) [M+NH4]+,C51H103NO6,[M + Na]+,C51H103NO6,Fatty acids,0.9991113543510436,Glycerolipids,0.9857579469680786,Triacylglycerols,0.9990216493606568,Triacylglycerols,0.9281586408615112,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(16:0/16:0/18:2) [M+NH4]+
x38122_882_79183_15_463,882.79183,15.463,18:1,38122,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x39396_878_81821_15_961,878.81821,15.961,18:1,39396,Triacylglycerols,TAG(16:0/18:0/18:1) [M+NH4]+,C55H104O6,[M + H3N + H]+,C55H107NO6,Fatty acids,0.9995682835578918,Glycerolipids,0.9992235898971558,Triacylglycerols,0.999950647354126,Triacylglycerols,0.9998571872711182,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(16:0/18:0/18:1) [M+NH4]+
x39422_912_83873_15_969,912.83873,15.969,18:1,39422,MADAG,MADAG(56:5) [M+NH4]+,C59H109NO5,[M + H]+,C59H109NO5,Fatty acids,0.9999010562896729,Glycerolipids,0.980379581451416,Triacylglycerols,0.9964841604232788,Unknown,0.8223949074745178,NA,NA,NA,NA,NA,Glycerolipid,Monoalkyldiacylglycerols,MADAG,MADAG(56:5) [M+NH4]+
x40856_954_84718_16_66,954.84718,16.66,18:1,40856,Triacylglycerols,TAG(18:0/18:0/22:5) [M+NH4]+,C25H32I4N2O4,[M + Na]+,C25H32I4N2O4,Unknown,0.27673280239105225,Unknown,0.16165530681610107,Unknown,0.26247134804725647,Unknown,0.5274227857589722,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(18:0/18:0/22:5) [M+NH4]+
x38249_884_80447_15_483,884.80447,15.483,18:1,38249,MADAG,MADAG(O-18:0/16:0/20:5) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Monoalkyldiacylglycerols,MADAG,MADAG(O-18:0/16:0/20:5) [M+NH4]+
x41274_930_84902_16_978,930.84902,16.978,18:1,41274,Triacylglycerols,NA,C59H111NO6,[M + H]+,C59H111NO6,Fatty acids,0.9976077079772948,Glycerolipids,0.9943721294403076,Triacylglycerols,0.9999690055847168,Triacylglycerols,0.9862987399101256,NA,NA,NA,NA,NA,NA,NA,NA,NA
x39445_950_81651_15_998,950.81651,15.998,18:1,39445,Triacylglycerols,TAG(18:0/18:3/22:4) [M+NH4]+,C59H109NO6,[M + Na]+,C59H109NO6,Fatty acids,0.998959183692932,Unknown,0.736568808555603,Triacylglycerols,0.9239068031311036,N-acyl amines,0.955332100391388,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(18:0/18:3/22:4) [M+NH4]+
x36195_738_66123_14_743,738.66123,14.743,18:1,36195,Triacylglycerols,TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+
x41557_906_85001_17_283,906.85001,17.283,18:1,41557,Triacylglycerols,TAG(16:0/18:1/20:0) / (16:0/18:0/20:1) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(16:0/18:1/20:0) / (16:0/18:0/20:1) [M+NH4]+
x36153_766_69146_14_734,766.69146,14.734,18:1,36153,Triacylglycerols,TAG(14:0/14:0/16:1) [M+NH4]+,C43H87N7O4,[M + H]+,C43H87N7O4,Fatty acids,0.8722700476646423,Unknown,0.19883747398853305,Unknown,0.06746068596839905,Unknown,0.5412127375602722,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/16:1) [M+NH4]+
x38726_876_80066_15_681,876.80066,15.681,18:1,38726,Triacylglycerols,TAG(16:0/18:0/18:2) [M+NH4]+,C55H105NO6,[M + H]+,C55H105NO6,Fatty acids,0.9987779259681702,Glycerolipids,0.9948311448097228,Triacylglycerols,0.99996185302734375,Triacylglycerols,0.9935821294784546,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(16:0/18:0/18:2) [M+NH4]+
x41233_912_83892_16_95,912.83892,16.95,18:1,41233,MADAG,MADAG(56:5) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Monoalkyldiacylglycerols,MADAG,MADAG(56:5) [M+NH4]+
x38318_998_81178_15_523,998.81178,15.523,18:1,38318,Triacylglycerols,TAG(16:0/18:3/28:8) [M+NH4]+,C63H109NO6,[M + Na]+,C63H109NO6,Fatty acids,0.9999896287918092,Glycerolipids,0.9993720650672911,Triacylglycerols,0.9999699592590332,Triacylglycerols,0.9999661445617676,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(16:0/18:3/28:8) [M+NH4]+
