metabolite,pepmass,RT,fatty_acid,feature_id,compound_class,compound_name,molecular_formula,adduct,precursor_formula,npc_number_pathway,npc_number_pathway_probability,npc_number_superclass,npc_number_superclass_probability,npc_number_class,npc_number_class_probability,classy_fire_number_most_specific_class,classy_fire_number_most_specific_class_probability,gnps_cosine_score,gnps_mz_error_ppm,gnps_compound_name,gnps_compound_class,gnps_compound_subclass,coraldb_compound_family,coraldb_compound_superclass,coraldb_compound_class,coraldb_compound_name
x37644_766_69228_15_242,766.69228,15.242,12:0,37644,Triacylglycerols,TAG(14:0/14:0/16:1) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/16:1) [M+NH4]+
x38867_768_70791_15_73,768.70791,15.73,12:0,38867,Triacylglycerols,TAG(14:0/14:0/16:0) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/16:0) [M+NH4]+
x37681_740_67655_15_252,740.67655,15.252,12:0,37681,Triacylglycerols,TAG(14:0/14:0/14:0) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/14:0) [M+NH4]+
x36387_764_67681_14_807,764.67681,14.807,12:0,36387,Triacylglycerols,TAG(14:0/14:0/16:2) / (12:0/16:0/16:2) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/16:2) / (12:0/16:0/16:2) [M+NH4]+
x36195_738_66123_14_743,738.66123,14.743,12:0,36195,Triacylglycerols,TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+
x36153_766_69146_14_734,766.69146,14.734,12:0,36153,Triacylglycerols,TAG(14:0/14:0/16:1) [M+NH4]+,C43H87N7O4,[M + H]+,C43H87N7O4,Fatty acids,0.8722700476646423,Unknown,0.19883747398853305,Unknown,0.06746068596839905,Unknown,0.5412127375602722,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/16:1) [M+NH4]+
x36211_712_64567_14_744,712.64567,14.744,12:0,36211,Triacylglycerols,TAG(12:0/14:0/14:0) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(12:0/14:0/14:0) [M+NH4]+
x36173_740_67585_14_735,740.67585,14.735,12:0,36173,Triacylglycerols,TAG(14:0/14:0/14:0) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/14:0) [M+NH4]+
x7702_375_30469_4_456,375.30469,4.456,12:0,7702,Unknown,NA,C28H38,[M + H]+,C28H38,Terpenoids,0.9821081757545472,Unknown,0.1495671421289444,Unknown,0.06426526606082916,Unknown,0.5596135258674622,NA,NA,NA,NA,NA,NA,NA,NA,NA
x3477_424_31823_3_083,424.31823,3.083,12:0,3477,Unknown,dopamine-C20:3,C21H38FN7O,[M + H]+,C21H38FN7O,Alkaloids,0.9993125200271606,Unknown,0.46155139803886414,Unknown,0.18947207927703855,Unknown,0.6289271712303162,0.852216,4.24335,dopamine-C20:3,Phenols,Benzenediols,NA,NA,NA,NA
x7638_393_31577_4_444,393.31577,4.444,12:0,7638,Unknown,NA,C28H40O,[M + H]+,C28H40O,Terpenoids,0.996123731136322,Apocarotenoids,0.8782839179039001,Unknown,0.6753665804862976,Unknown,0.5617620348930359,NA,NA,NA,NA,NA,NA,NA,NA,NA
x34276_710_6297_14_209,710.6297,14.209,12:0,34276,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x6773_399_32585_4_17,399.32585,4.17,12:0,6773,Unknown,NA,C27H42O2,[M + H]+,C27H42O2,Terpenoids,0.9997370839118958,Steroids,0.9646399021148682,Unknown,0.4968512654304504,Unknown,0.7020830512046814,NA,NA,NA,NA,NA,NA,NA,NA,NA
x34428_712_64537_14_245,712.64537,14.245,12:0,34428,Triacylglycerols,TAG(12:0/14:0/14:0) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(12:0/14:0/14:0) [M+NH4]+
x1318_354_2638_1_564,354.2638,1.564,12:0,1318,Unknown,NA,C20H35NO4,[M + H]+,C20H35NO4,Unknown,0.7593711614608765,Unknown,0.8405784964561462,Unknown,0.2358853667974472,Unknown,0.7592741250991821,NA,NA,NA,NA,NA,NA,NA,NA,NA
x7706_377_3207_4_435,377.3207,4.435,12:0,7706,Unknown,NA,C28H40,[M + H]+,C28H40,Terpenoids,0.9981268048286438,Unknown,0.10298336297273636,Unknown,0.02455445937812328,Prenol lipids,0.94966858625412,NA,NA,NA,NA,NA,NA,NA,NA,NA
x34568_738_66107_14_276,738.66107,14.276,12:0,34568,Triacylglycerols,TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+
x26410_616_56642_12_334,616.56642,12.334,12:0,26410,Unknown,NA,C40H73NO3,[M + H]+,C40H73NO3,Fatty acids,0.984906792640686,Unknown,0.7238919138908386,Unknown,0.6154646873474121,N-acyl amines,0.9117761850357056,NA,NA,NA,NA,NA,NA,NA,NA,NA
x408_288_28929_1_04,288.28929,1.04,12:0,408,Unknown,NA,C17H37NO2,[M + H]+,C17H37NO2,Fatty acids,0.953620970249176,Unknown,0.6760642528533936,Unknown,0.622291088104248,"1,2-aminoalcohols",0.9336954951286316,NA,NA,NA,NA,NA,NA,NA,NA,NA
x34204_684_61583_14_171,684.61583,14.171,12:0,34204,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x1728_368_28017_1_826,368.28017,1.826,12:0,1728,Unknown,NA,C27H33B,[M + H]+,C27H33B,Terpenoids,0.9880405068397522,Unknown,0.4291159212589264,Unknown,0.34652599692344666,Unknown,0.764001190662384,NA,NA,NA,NA,NA,NA,NA,NA,NA
x4670_273_25784_3_528,273.25784,3.528,12:0,4670,Unknown,NA,C20H32,[M + H]+,C20H32,Terpenoids,0.9956477284431458,Unknown,0.7903209924697876,Unknown,0.07582619786262512,Diterpenoids,0.8662310242652893,NA,NA,NA,NA,NA,NA,NA,NA,NA
x4098_314_30554_3_347,314.30554,3.347,12:0,4098,Unknown,NA,C19H39NO2,[M + H]+,C19H39NO2,Unknown,0.8497189283370972,Unknown,0.5298484563827515,Unknown,0.15725135803222656,Unknown,0.619819700717926,NA,NA,NA,NA,NA,NA,NA,NA,NA
x2682_396_31106_2_618,396.31106,2.618,12:0,2682,Unknown,NA,C23H41NO4,[M + H]+,C23H41NO4,Fatty acids,0.9732000827789308,Unknown,0.6584638357162476,Unknown,0.5530492067337036,Unknown,0.6722908616065979,NA,NA,NA,NA,NA,NA,NA,NA,NA
x1395_382_29498_1_599,382.29498,1.599,12:0,1395,Unknown,NA,C22H39NO4,[M + H]+,C22H39NO4,Fatty acids,0.9937439560890198,Unknown,0.647555410861969,Unknown,0.17632482945919037,Unknown,0.6625351905822754,NA,NA,NA,NA,NA,NA,NA,NA,NA
x6519_328_32138_4_097,328.32138,4.097,12:0,6519,Unknown,NA,C20H41NO2,[M + H]+,C20H41NO2,Fatty acids,0.8814877867698669,Fatty amides,0.8692132830619812,Unknown,0.4760517477989197,N-acyl amines,0.9423084855079652,NA,NA,NA,NA,NA,NA,NA,NA,NA
x7436_273_25793_4_387,273.25793,4.387,12:0,7436,Unknown,Manool CollisionEnergy:205060,C20H32,[M + H]+,C20H32,Terpenoids,0.9949138164520264,Unknown,0.7666251063346863,Unknown,0.07149749249219894,Unknown,0.8374768495559692,0.862883,0.335041,Manool CollisionEnergy:205060,Prenol lipids,Diterpenoids,NA,NA,NA,NA
x824_354_26302_1_251,354.26302,1.251,12:0,824,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x23731_586_5214_11_481,586.5214,11.481,12:0,23731,Unknown,NA,C38H67NO3,[M + H]+,C38H67NO3,Fatty acids,0.9809650778770448,Unknown,0.5737617015838623,Unknown,0.23148302733898163,N-acyl amines,0.988545835018158,NA,NA,NA,NA,NA,NA,NA,NA,NA
x1091_320_25648_1_424,320.25648,1.424,12:0,1091,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x4686_326_30551_3_539,326.30551,3.539,12:0,4686,Unknown,NA,C20H39NO2,[M + H]+,C20H39NO2,Fatty acids,0.8669196963310242,Unknown,0.6762512922286987,Unknown,0.5823794007301331,"1,2-aminoalcohols",0.8686177134513855,NA,NA,NA,NA,NA,NA,NA,NA,NA
x4894_398_32756_3_606,398.32756,3.606,12:0,4894,Unknown,NA,C23H43NO4,[M + H]+,C23H43NO4,Unknown,0.7827015519142151,Unknown,0.5171939730644226,Unknown,0.8202762007713318,Carbamate esters,0.8806086182594299,NA,NA,NA,NA,NA,NA,NA,NA,NA
x24143_588_53511_11_655,588.53511,11.655,12:0,24143,Unknown,NA,C38H69NO3,[M + H]+,C38H69NO3,Fatty acids,0.972873330116272,Unknown,0.56433868408203125,Unknown,0.21277360618114471,Unknown,0.7264190316200256,NA,NA,NA,NA,NA,NA,NA,NA,NA
x4713_314_3052_3_499,314.3052,3.499,12:0,4713,Unknown,NA,C19H39NO2,[M + H]+,C19H39NO2,Unknown,0.7510433793067932,Unknown,0.8434604406356812,Unknown,0.4478428065776825,N-acyl amines,0.9226366877555848,NA,NA,NA,NA,NA,NA,NA,NA,NA
x2816_348_28902_2_72,348.28902,2.72,12:0,2816,Unknown,NA,C22H37NO2,[M + H]+,C22H37NO2,Fatty acids,0.9988368153572084,Fatty amides,0.9710503816604614,Unknown,0.48399269580841064,N-acyl amines,0.9274423122406006,NA,NA,NA,NA,NA,NA,NA,NA,NA
x31641_656_5845_13_609,656.5845,13.609,12:0,31641,Unknown,NA,C38H75N5O2,[M + Na]+,C38H75N5O2,Unknown,0.7215563654899597,Unknown,0.5205098986625671,Unknown,0.8389806747436523,N-acyl amines,0.9262046813964844,NA,NA,NA,NA,NA,NA,NA,NA,NA
x2526_296_25872_2_502,296.25872,2.502,12:0,2526,Unknown,NA,C18H33NO2,[M + H]+,C18H33NO2,Fatty acids,0.9018484950065612,Unknown,0.8308843374252319,Unknown,0.5131248235702515,Unknown,0.6356635093688965,NA,NA,NA,NA,NA,NA,NA,NA,NA
x3884_336_28968_3_253,336.28968,3.253,12:0,3884,Unknown,NA,C21H37NO2,[M + H]+,C21H37NO2,Unknown,0.7727702260017395,Unknown,0.530264139175415,Unknown,0.15518182516098022,Unknown,0.7476646304130554,NA,NA,NA,NA,NA,NA,NA,NA,NA
x4632_396_31137_3_507,396.31137,3.507,12:0,4632,Unknown,NA,C23H41NO4,[M + H]+,C23H41NO4,Unknown,0.5676473379135132,Unknown,0.10366222262382507,Unknown,0.0927463248372078,Unknown,0.7952316999435425,NA,NA,NA,NA,NA,NA,NA,NA,NA
x31062_780_67594_13_46,780.67594,13.46,12:0,31062,Unknown,NA,C21H22Br6O2,[M + H]+,C21H22Br6O2,Unknown,0.34827500581741333,Unknown,0.2759585380554199,Unknown,0.8223947286605835,Aryl bromides,0.9493053555488586,NA,NA,NA,NA,NA,NA,NA,NA,NA
x1213_406_29579_1_471,406.29579,1.471,12:0,1213,Unknown,NA,C24H39NO4,[M + H]+,C24H39NO4,Unknown,0.39928773045539856,Unknown,0.3610529601573944,Unknown,0.20781341195106504,Unknown,0.5410769581794739,NA,NA,NA,NA,NA,NA,NA,NA,NA
x1128_382_29505_1_444,382.29505,1.444,12:0,1128,Unknown,NA,C22H39NO4,[M + H]+,C22H39NO4,Fatty acids,0.9979333877563475,Unknown,0.7936339974403381,Unknown,0.6420549154281616,Unknown,0.5389655232429504,NA,NA,NA,NA,NA,NA,NA,NA,NA
x4082_326_30567_3_356,326.30567,3.356,12:0,4082,Unknown,NA,C20H39NO2,[M + H]+,C20H39NO2,Unknown,0.7999484539031982,Unknown,0.7729803323745728,Unknown,0.6649428009986877,Unknown,0.5554887056350708,NA,NA,NA,NA,NA,NA,NA,NA,NA
x33290_808_7044_13_945,808.7044,13.945,12:0,33290,Triacylglycerols,NA,C49H93NO7,[M + H]+,C49H93NO7,Fatty acids,0.9992565512657166,Glycerolipids,0.960954248905182,Triacylglycerols,0.9962789416313172,Triacylglycerols,0.983876883983612,NA,NA,NA,NA,NA,NA,NA,NA,NA
x1079_366_2661_1_368,366.2661,1.368,12:0,1079,Unknown,NA,C19H32FN5O,[M + H]+,C19H32FN5O,Unknown,0.5103363394737244,Unknown,0.26201486587524414,Unknown,0.0301401074975729,Unknown,0.6772653460502625,NA,NA,NA,NA,NA,NA,NA,NA,NA
x1758_364_28505_1_809,364.28505,1.809,12:0,1758,Unknown,NA,C22H37NO3,[M + H]+,C22H37NO3,Unknown,0.713521420955658,Unknown,0.6387182474136353,Unknown,0.07083267718553543,Unknown,0.8309544324874878,NA,NA,NA,NA,NA,NA,NA,NA,NA
x3970_364_28474_3_278,364.28474,3.278,12:0,3970,Unknown,NA,C22H37NO3,[M + H]+,C22H37NO3,Unknown,0.6933693885803223,Unknown,0.5458899736404419,Unknown,0.33506816625595093,Unknown,0.5741718411445618,NA,NA,NA,NA,NA,NA,NA,NA,NA
x1238_340_28439_1_552,340.28439,1.552,12:0,1238,Unknown,NA,C20H37NO3,[M + H]+,C20H37NO3,Fatty acids,0.9042922258377076,Unknown,0.5257429480552673,Unknown,0.2571399211883545,Unknown,0.575635552406311,NA,NA,NA,NA,NA,NA,NA,NA,NA
x7986_488_4481_4_556,488.4481,4.556,12:0,7986,Unknown,NA,C32H57NO2,[M + H]+,C32H57NO2,Unknown,0.6574288606643677,Unknown,0.2708836793899536,Unknown,0.12026545405387878,Unknown,0.7837759256362915,NA,NA,NA,NA,NA,NA,NA,NA,NA
x7698_407_36701_4_428,407.36701,4.428,12:0,7698,Unknown,NA,C30H46,[M + H]+,C30H46,Terpenoids,0.9962169528007508,Unknown,0.6956942081451416,Unknown,0.11508136242628098,Unknown,0.5541766285896301,NA,NA,NA,NA,NA,NA,NA,NA,NA
x28920_628_55287_12_972,628.55287,12.972,12:0,28920,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x28446_704_57966_12_847,704.57966,12.847,12:0,28446,Unknown,NA,C43H77NO6,[M + H]+,C43H77NO6,Fatty acids,0.9973363280296326,Unknown,0.7362098693847656,Unknown,0.7703539729118347,Unknown,0.7570916414260864,NA,NA,NA,NA,NA,NA,NA,NA,NA
x29239_730_59641_13_089,730.59641,13.089,12:0,29239,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x7035_375_30577_4_226,375.30577,4.226,12:0,7035,Unknown,NA,C28H38,[M + H]+,C28H38,Terpenoids,0.9806733131408693,Unknown,0.434401422739029,Unknown,0.11661671847105026,Unknown,0.5956069231033325,NA,NA,NA,NA,NA,NA,NA,NA,NA
x5474_273_25697_3_785,273.25697,3.785,12:0,5474,Unknown,NA,C20H32,[M + H]+,C20H32,Terpenoids,0.9954036474227904,Unknown,0.8329828381538391,Unknown,0.06190851703286171,Diterpenoids,0.8730137944221497,NA,NA,NA,NA,NA,NA,NA,NA,NA
x2940_370_27309_2_755,370.27309,2.755,12:0,2940,Unknown,NA,C24H35NO2,[M + H]+,C24H35NO2,Unknown,0.1889330893754959,Unknown,0.3117891550064087,Unknown,0.292229026556015,Unknown,0.5939581990242004,NA,NA,NA,NA,NA,NA,NA,NA,NA
x8228_336_29027_4_618,336.29027,4.618,12:0,8228,Unknown,NA,C21H37NO2,[M + H]+,C21H37NO2,Fatty acids,0.9875255823135376,Unknown,0.758506178855896,Unknown,0.5140277147293091,Unknown,0.8048707246780396,NA,NA,NA,NA,NA,NA,NA,NA,NA
x29670_680_58079_13_147,680.58079,13.147,12:0,29670,Unknown,NA,C41H77NO6,[M + H]+,C41H77NO6,Fatty acids,0.9990851879119872,Unknown,0.4944173991680145,Unknown,0.5709049105644226,Unknown,0.6566332578659058,NA,NA,NA,NA,NA,NA,NA,NA,NA
x1090_334_27398_1_45,334.27398,1.45,12:0,1090,Unknown,NA,C21H35NO2,[M + H]+,C21H35NO2,Unknown,0.8069276809692383,Unknown,0.6461229920387268,Unknown,0.293880432844162,Unknown,0.6253222823143005,NA,NA,NA,NA,NA,NA,NA,NA,NA
x3710_376_28614_3_171,376.28614,3.171,12:0,3710,Unknown,NA,C23H37NO3,[M + H]+,C23H37NO3,Fatty acids,0.9602731466293336,Unknown,0.7906264066696167,Unknown,0.316042423248291,Unknown,0.8419117331504822,NA,NA,NA,NA,NA,NA,NA,NA,NA
x23957_600_49723_11_631,600.49723,11.631,12:0,23957,Unknown,NA,C38H65NO4,[M + H]+,C38H65NO4,Fatty acids,0.9644195437431335,Unknown,0.4149759709835053,Unknown,0.235072523355484,Unknown,0.5747503638267517,NA,NA,NA,NA,NA,NA,NA,NA,NA
x3218_322_27338_2_994,322.27338,2.994,12:0,3218,Unknown,NA,C20H35NO2,[M + H]+,C20H35NO2,Fatty acids,0.9676217436790466,Unknown,0.5585718154907227,Unknown,0.6062847375869751,Unknown,0.5273629426956177,NA,NA,NA,NA,NA,NA,NA,NA,NA
x10634_359_27482_5_511,359.27482,5.511,12:0,10634,Unknown,NA,C27H34,[M + H]+,C27H34,Terpenoids,0.9943162798881532,Unknown,0.6571029424667358,Unknown,0.6590132713317871,Unknown,0.6762775778770447,NA,NA,NA,NA,NA,NA,NA,NA,NA
x6868_273_2556_4_146,273.2556,4.146,12:0,6868,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x14958_550_4477_7_299,550.4477,7.299,12:0,14958,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x2256_326_30529_2_361,326.30529,2.361,12:0,2256,Unknown,NA,C20H39NO2,[M + H]+,C20H39NO2,Fatty acids,0.9684605598449708,Fatty amides,0.9205020666122437,Unknown,0.7336453199386597,Unknown,0.6175275444984436,NA,NA,NA,NA,NA,NA,NA,NA,NA
x647_378_23136_1_159,378.23136,1.159,12:0,647,Unknown,NA,C20H31BO6,[M + H]+,C20H31BO6,Terpenoids,0.982016384601593,Unknown,0.20147351920604703,Unknown,0.2915041446685791,Unknown,0.8431678414344788,NA,NA,NA,NA,NA,NA,NA,NA,NA
x2974_424_3205_2_901,424.3205,2.901,12:0,2974,Unknown,NA,C28H41NO2,[M + H]+,C28H41NO2,Unknown,0.7260320782661438,Unknown,0.3946690261363983,Unknown,0.6159232258796692,Unknown,0.7523818612098694,NA,NA,NA,NA,NA,NA,NA,NA,NA
x3799_384_29177_3_24,384.29177,3.24,12:0,3799,Unknown,NA,C22H38FNO3,[M + H]+,C22H38FNO3,Unknown,0.6941186189651489,Unknown,0.7333600521087646,Unknown,0.3424397110939026,Unknown,0.6174956560134888,NA,NA,NA,NA,NA,NA,NA,NA,NA
x39847_822_75508_16_151,822.75508,16.151,14:0,39847,Triacylglycerols,TAG(16:0/16:0/16:1) / TAG(16:0/14:0/18:1) [M+NH4]+,C47H95N7O4,[M + H]+,C47H95N7O4,Fatty acids,0.9883964657783508,Unknown,0.833619236946106,Unknown,0.8350656628608704,Fatty acid esters,0.973231554031372,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(16:0/16:0/16:1) / TAG(16:0/14:0/18:1) [M+NH4]+
x38192_818_72388_15_459,818.72388,15.459,14:0,38192,Triacylglycerols,TAG(14:0/16:0/18:3) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/16:0/18:3) [M+NH4]+
x38869_820_73925_15_735,820.73925,15.735,14:0,38869,Triacylglycerols,TAG(14:0/16:1/18:1) / TAG(14:0/16:0/18:2) [M+NH4]+,C47H93N7O4,[M + H]+,C47H93N7O4,Fatty acids,0.9879109859466552,Unknown,0.6981591582298279,Unknown,0.45715561509132385,Unknown,0.5531683564186096,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/16:1/18:1) / TAG(14:0/16:0/18:2) [M+NH4]+
x38830_794_72361_15_716,794.72361,15.716,14:0,38830,Triacylglycerols,TAG(14:0/16:0/16:1) / TAG(14:0/14:0/18:1) [M+NH4]+,C45H91N7O4,[M + H]+,C45H91N7O4,Fatty acids,0.9535006880760192,Unknown,0.43772438168525696,Unknown,0.08050201088190079,Unknown,0.5054032206535339,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/16:0/16:1) / TAG(14:0/14:0/18:1) [M+NH4]+
x36913_790_69265_14_973,790.69265,14.973,14:0,36913,Triacylglycerols,TAG(14:0/16:1/16:2) [M+NH4]+,C47H93NO6,[M + Na]+,C47H93NO6,Fatty acids,0.9995914101600648,Glycerolipids,0.984402060508728,Triacylglycerols,0.9969837069511414,Triacylglycerols,0.9530778527259828,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/16:1/16:2) [M+NH4]+
x38023_822_75443_15_401,822.75443,15.401,14:0,38023,Triacylglycerols,TAG(16:0/16:0/16:1) / TAG(16:0/14:0/18:1) [M+NH4]+,C49H101NO6,[M + Na]+,C49H101NO6,Fatty acids,0.9999769926071168,Glycerolipids,0.9990373849868774,Triacylglycerols,0.9999691247940063,Triacylglycerols,0.9942704439163208,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(16:0/16:0/16:1) / TAG(16:0/14:0/18:1) [M+NH4]+
x37726_792_70779_15_276,792.70779,15.276,14:0,37726,Triacylglycerols,TAG(14:0/16:1/16:1) / TAG(14:0/14:0/18:2) [M+NH4]+,C49H93NO6,[M + H]+,C49H93NO6,Fatty acids,0.9997172951698304,Glycerolipids,0.9960541725158693,Triacylglycerols,0.9998701810836792,Triacylglycerols,0.9991590976715088,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/16:1/16:1) / TAG(14:0/14:0/18:2) [M+NH4]+
x37248_816_70805_15_098,816.70805,15.098,14:0,37248,Triacylglycerols,TAG(14:0/16:0/18:4) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/16:0/18:4) [M+NH4]+
x37644_766_69228_15_242,766.69228,15.242,14:0,37644,Triacylglycerols,TAG(14:0/14:0/16:1) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/16:1) [M+NH4]+
x37493_794_72212_15_188,794.72212,15.188,14:0,37493,Triacylglycerols,TAG(14:0/16:0/16:1) / TAG(14:0/14:0/18:1) [M+NH4]+,C45H91N7O4,[M + H]+,C45H91N7O4,Fatty acids,0.9332886338233948,Unknown,0.18018610775470736,Unknown,0.05077216401696205,Unknown,0.7192853093147278,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/16:0/16:1) / TAG(14:0/14:0/18:1) [M+NH4]+
x39895_796_73948_16_172,796.73948,16.172,14:0,39895,Triacylglycerols,TAG(14:0/16:0/16:0) [M+NH4]+,C23H12Cl4I2N2O2S,[M + Na]+,C23H12Cl4I2N2O2S,Alkaloids,0.995740294456482,Unknown,0.7776298522949219,Pyrrole alkaloids,0.9305726289749146,Unknown,0.7936344146728516,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/16:0/16:0) [M+NH4]+
x38867_768_70791_15_73,768.70791,15.73,14:0,38867,Triacylglycerols,TAG(14:0/14:0/16:0) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/16:0) [M+NH4]+
x37681_740_67655_15_252,740.67655,15.252,14:0,37681,Triacylglycerols,TAG(14:0/14:0/14:0) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/14:0) [M+NH4]+
x37512_768_70614_15_195,768.70614,15.195,14:0,37512,Triacylglycerols,TAG(14:0/14:0/16:0) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/16:0) [M+NH4]+
x37742_818_72331_15_285,818.72331,15.285,14:0,37742,Triacylglycerols,TAG(14:0/16:1/18:2) [M+NH4]+,C46H89N11,[M + Na]+,C46H89N11,Alkaloids,0.9930106997489928,Unknown,0.30088362097740173,Unknown,0.2476552426815033,Heteroaromatic compounds,0.9922296404838562,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/16:1/18:2) [M+NH4]+
x36387_764_67681_14_807,764.67681,14.807,14:0,36387,Triacylglycerols,TAG(14:0/14:0/16:2) / (12:0/16:0/16:2) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/16:2) / (12:0/16:0/16:2) [M+NH4]+
