"","metabolite","pepmass","RT","fatty_acid","feature_id","compound_class","compound_name","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","coraldb_compound_name","XGBoost_Importance","RandomForest_Importance","scler_ubiquity","non_scler_ubiquity","total_ubiquity","is_super_core","ubiquity_diff"
"95","x39029_808_77631_15_792",808.77631,15.792,"14:0",39029,"Triacylglycerols",NA,"C51H98O5","[M + H3N + H]+","C51H101NO5","Fatty acids",0.999684929847717,"Glycerolipids",0.999496221542358,"Triacylglycerols",0.999488711357117,"Triacylglycerols",0.972063541412354,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,17.9906542056075,55.8823529411765,27.4647887323944,FALSE,-37.891698735569
"96","x34428_712_64537_14_245",712.64537,14.245,"14:0",34428,"Triacylglycerols","TAG(12:0/14:0/14:0) [M+NH4]+",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,"Glycerolipid","Triacylglycerols","Triacylglycerols","TAG(12:0/14:0/14:0) [M+NH4]+",0,0,85.2803738317757,73.5294117647059,82.2183098591549,FALSE,11.7509620670698
"97","x21669_630_50796_10_315",630.50796,10.315,"14:0",21669,"Unknown",NA,NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,79.4392523364486,40.4411764705882,70.0704225352113,FALSE,38.9980758658604
"98","x34743_764_67632_14_323",764.67632,14.323,"14:0",34743,"Triacylglycerols","TAG(14:0/14:0/16:2) / (12:0/16:0/16:2) [M+NH4]+","C47H89NO6","[M + H]+","C47H89NO6","Fatty acids",0.999222874641418,"Glycerolipids",0.989851474761963,"Triacylglycerols",0.99963390827179,"Triacylglycerols",0.997091770172119,NA,NA,NA,NA,NA,"Glycerolipid","Triacylglycerols","Triacylglycerols","TAG(14:0/14:0/16:2) / (12:0/16:0/16:2) [M+NH4]+",0,0,79.9065420560748,72.7941176470588,77.9929577464789,FALSE,7.112424409016
"99","x38242_780_70833_15_476",780.70833,15.476,"14:0",38242,"Unknown",NA,"C14H12I4N2O4","[M + H]+","C14H12I4N2O4","Unknown",0.678188920021057,"Small peptides",0.857852518558502,"Unknown",0.552890419960022,"Unknown",0.710422396659851,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,77.803738317757,0,58.6267605633803,FALSE,77.803738317757
"100","x12395_452_35157_6_187",452.35157,6.187,"14:0",12395,"Unknown",NA,"C30H45NO2","[M + H]+","C30H45NO2","Unknown",0.560360074043274,"Unknown",0.341305047273636,"Unknown",0.421116709709167,"Unknown",0.744273781776428,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.4018691588785,0,1.05633802816901,FALSE,1.4018691588785
"101","x34568_738_66107_14_276",738.66107,14.276,"14:0",34568,"Triacylglycerols","TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,"Glycerolipid","Triacylglycerols","Triacylglycerols","TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+",0,5.55897192765018e-06,80.3738317757009,72.7941176470588,78.3450704225352,FALSE,7.57971412864211
"102","x26410_616_56642_12_334",616.56642,12.334,"14:0",26410,"Unknown",NA,"C40H73NO3","[M + H]+","C40H73NO3","Fatty acids",0.984906792640686,"Unknown",0.723891913890839,"Unknown",0.615464687347412,"N-acyl amines",0.911776185035706,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.55488161338728e-05,88.5514018691589,52.9411764705882,79.7535211267606,FALSE,35.6102253985707
"103","x34204_684_61583_14_171",684.61583,14.171,"14:0",34204,"Unknown",NA,NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,70.7943925233645,12.5,56.5140845070422,FALSE,58.2943925233645
"104","x5208_330_33679_3_691",330.33679,3.691,"14:0",5208,"Unknown",NA,"C20H43NO2","[M + H]+","C20H43NO2","Fatty acids",0.998806476593018,"Unknown",0.822246432304382,"Unknown",0.204923510551453,"Unknown",0.62724781036377,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,67.7570093457944,61.0294117647059,65.669014084507,FALSE,6.7275975810885
"105","x37578_828_74395_15_233",828.74395,15.233,"14:0",37578,"Unknown",NA,NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,32.0093457943925,41.1764705882353,34.5070422535211,FALSE,-9.1671247938428
"106","x38252_810_75471_15_538",810.75471,15.538,"14:0",38252,"Triacylglycerols",NA,"C50H99NO6","[M + H]+","C50H99NO6","Fatty acids",0.999036431312561,"Glycerolipids",0.947267830371857,"Triacylglycerols",0.995267927646637,"Unknown",0.547029972076416,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.000109360777472854,18.9252336448598,99.2647058823529,38.7323943661972,FALSE,-80.3394722374931
"107","x4631_511_37419_3_515",511.37419,3.515,"14:0",4631,"Unknown",NA,"C28H50N2O6","[M + H]+","C28H50N2O6","Unknown",0.447012037038803,"Unknown",0.31222078204155,"Unknown",0.490257441997528,"Amino acids and derivatives",0.886044979095459,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,47.4299065420561,64.7058823529412,51.4084507042254,FALSE,-17.2759758108851
"108","x4098_314_30554_3_347",314.30554,3.347,"14:0",4098,"Unknown",NA,"C19H39NO2","[M + H]+","C19H39NO2","Unknown",0.849718928337097,"Unknown",0.529848456382751,"Unknown",0.157251358032227,"Unknown",0.619819700717926,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.19198463829028e-06,79.6728971962617,71.3235294117647,77.8169014084507,FALSE,8.34936778449701
