"","metabolite","feature_id","compound_superclass","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_cosine_score","coraldb_mz_error_ppm","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","exact_mass","database","clusterIndex","refined_origin","compound_class","coraldb_compound_name"
"16","x39091_950_81423_15_819",39091,"Triacylglycerols","C52H103N9O6","[M + H]+","C52H103N9O6","Unknown",0.687923192977905,"Unknown",0.788653314113617,"Unknown",0.514463126659393,"N-acyl-alpha amino acids and derivatives",0.877729117870331,NA,NA,NA,NA,NA,0.73634,0.706117,"Glycerolipid","Triacylglycerols","Triacylglycerols",950.81487,"Niarox",116267,"Both","Triacylglycerols","TAG(18:0/18:3/22:4) [M+NH4]+"
"17","x27982_604_56684_12_699",27982,"Sphingolipids","C39H73NO3","[M + H]+","C39H73NO3","Fatty acids",0.999650835990906,"Sphingolipids",0.996695399284363,"Ceramides",0.998220860958099,"Ceramides",0.999621033668518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Ceramides",NA
"18","x24518_1376_04833_11_783",24518,"Unknown","C45H57Br4N9O21","[M + H]+","C45H57Br4N9O21","Unknown",0.348938465118408,"Unknown",0.189729601144791,"Unknown",0.18859013915062,"N-acyl-alpha amino acids and derivatives",0.97030758857727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA
"19","x20283_753_57094_9_613",20283,"Unknown","C40H80O12","[M + H]+","C40H80O12","Unknown",0.67657881975174,"Unknown",0.129761308431625,"Unknown",0.257211595773697,"Alkyl glycosides",0.899541139602661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA
"20","x11285_788_52063_5_711",11285,"Glycerophospholipids","C45H74NO8P","[M + H]+","C45H74NO8P","Fatty acids",0.99989914894104,"Glycerophospholipids",0.999943017959595,"Glycerophosphoethanolamines",0.989702641963959,"Monomethylphosphatidylethanolamines",0.881411910057068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Glycerophosphoethanolamines",NA
"21","x40747_902_81778_16_618",40747,"Glycerolipids","C55H109NO6","[M + Na]+","C55H109NO6","Fatty acids",0.999782383441925,"Glycerolipids",0.986738085746765,"Triacylglycerols",0.999602496623993,"Triacylglycerols",0.9618199467659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Triacylglycerols",NA
"22","x36097_840_70824_14_698",36097,"Triacylglycerols","C51H95NO6","[M + Na]+","C51H95NO6","Fatty acids",0.999026656150818,"Glycerolipids",0.91058337688446,"Triacylglycerols",0.958513915538788,"Unknown",0.556158661842346,NA,NA,NA,NA,NA,0.848844,2.541,"Glycerolipid","Triacylglycerols","Triacylglycerols",840.70606,"Niarox",110437,"Both","Triacylglycerols","TAG(14:0/18:3/18:3) / (14:0/16:1/20:5) [M+NH4]+"
"23","x31043_602_58816_13_46",31043,"Sphingolipids","C40H75NO2","[M + H]+","C40H75NO2","Fatty acids",0.999680995941162,"Sphingolipids",0.998375773429871,"Ceramides",0.998420000076294,"Ceramides",0.998388528823852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Ceramides",NA
"24","x15642_822_5198_7_484",15642,"Unknown","C41H69N9O7","[M + Na]+","C41H69N9O7","Unknown",0.808479428291321,"Unknown",0.800006806850433,"Unknown",0.520367026329041,"Unknown",0.658954620361328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA
"25","x11249_814_54463_5_699",11249,"Sphingolipids","C45H77NO10","[M + Na]+","C45H77NO10","Fatty acids",0.975490868091583,"Sphingolipids",0.900553107261658,"Neutral glycosphingolipids",0.991497576236725,"Glycosyl-N-acylsphingosines",0.942658245563507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Neutral glycosphingolipids",NA
"26","x3209_438_29793_2_975",3209,"Unknown","C21H44NO6P","[M + H]+","C21H44NO6P","Fatty acids",0.999401450157166,"Unknown",0.6908118724823,"Unknown",0.0349687188863754,"Phosphosphingolipids",0.957540571689606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA
"27","x21104_667_51515_9_991",21104,"Sphingolipids","C36H73N2O5P","[M + Na]+","C36H73N2O5P","Fatty acids",0.999562799930572,"Sphingolipids",0.999018549919128,"Phosphosphingolipids",0.942880094051361,"Phosphosphingolipids",0.996712565422058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Phosphosphingolipids",NA
"28","x23416_924_44426_11_312",23416,"Oligopeptides","C46H63N9O8S","[M + Na]+","C46H63N9O8S","Amino acids and Peptides",0.98667448759079,"Oligopeptides",0.872343361377716,"Unknown",0.819857954978943,"Unknown",0.546238958835602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA
"29","x37575_1016_69083_15_218",37575,"Oligopeptides","C48H91N13O9","[M + Na]+","C48H91N13O9","Amino acids and Peptides",0.87922590970993,"Oligopeptides",0.922540247440338,"Unknown",0.659280478954315,"Unknown",0.760983169078827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA
"30","x20375_572_50364_9_623",20375,"Unknown","C37H65NO3","[M + H]+","C37H65NO3","Fatty acids",0.974886059761047,"Unknown",0.409569203853607,"Unknown",0.388135224580765,"Unknown",0.559679448604584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA
"31","x25672_720_59057_12_099",25672,"Glycerophospholipids","C40H82NO7P","[M + H]+","C40H82NO7P","Fatty acids",0.999907732009888,"Glycerophospholipids",0.999893188476562,"Glycerophosphocholines",0.999891042709351,"Glycerophosphocholines",0.999687314033508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Glycerophosphocholines",NA
"32","x2475_554_3473_2_439",2475,"Unknown","C33H47NO6","[M + H]+","C33H47NO6","Terpenoids",0.933589696884155,"Unknown",0.539868474006653,"Unknown",0.421276360750198,"Unknown",0.605976521968842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA
"33","x2022_676_4205_2_052",2022,"Unknown","C37H53N7O5","[M + H]+","C37H53N7O5","Unknown",0.268345236778259,"Unknown",0.614053547382355,"Unknown",0.435897469520569,"Unknown",0.689496219158173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA
"34","x14474_640_55096_7_072",14474,"Fatty esters","C38H73NO6","[M + H]+","C38H73NO6","Fatty acids",0.999411821365356,"Fatty esters",0.962897181510925,"Unknown",0.701258599758148,"Fatty acid esters",0.995854914188385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"35","x21835_814_57089_10_382",21835,"Oligopeptides","C45H75N5O8","[M + H]+","C45H75N5O8","Amino acids and Peptides",0.995650112628937,"Oligopeptides",0.9792320728302,"Unknown",0.307854801416397,"Peptides",0.956750333309174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"36","x39470_925_80361_15_957",39470,"Glycerolipids","C56H108O9","[M + H]+","C56H108O9","Fatty acids",0.986972987651825,"Glycerolipids",0.925318777561188,"Glycosyldiacylglycerols",0.873384654521942,"Fatty acyl glycosides of mono- and disaccharides",0.930608868598938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Glycosyldiacylglycerols",NA
"37","x25770_796_62218_12_134",25770,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA
"38","x22902_794_60499_10_997",22902,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","PC(alkyl)","PC(O-38:5) [M+H]+"
"39","x4568_587_22932_3_498",4568,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA
"40","x26753_788_61732_12_415",26753,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,0.869226,6.73342,"Spectral Match to 1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine from NIST14","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA
"41","x8982_929_75157_4_877",8982,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA
"42","x29153_834_64268_13_004",29153,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"43","x37213_842_72354_15_079",37213,"Triacylglycerols",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,0.817191,2.17279,"Glycerolipid","Triacylglycerols","Triacylglycerols",842.72171,"Niarox",112226,"Both","Triacylglycerols","TAG(16:0/16:1/18:4) / (16:0/16:2/18:3) / 18:1 18:2 20:4 [M+NH4]+"
"44","x12271_817_4866_6_131",12271,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA
"45","x39491_926_81454_15_997",39491,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA
"46","x36911_1133_68741_14_983",36911,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA
"47","x19452_766_57545_9_157",19452,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,0.922669,4.53839,"Spectral Match to Eicosapentaenoyl PAF C-16 from NIST14","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,NA,NA,NA,NA,"Host","PC(alkyl)","PC(O-36:5) [M+H]+"
"48","x22268_1093_9823_10_598",22268,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"49","x14979_878_56967_7_284",14979,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA
"50","x10240_1139_59535_5_363",10240,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA
"51","x35308_892_73619_14_462",35308,"Triacylglycerols",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,0.794615,1.70921,"Glycerolipid","Triacylglycerols","Triacylglycerols",994.78465,"Niarox",112125,"Both","Triacylglycerols","TAG(18:1/22:6/22:6) [M+NH4]+"
