"","metabolite","feature_id","compound_superclass","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_cosine_score","coraldb_mz_error_ppm","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","exact_mass","database","clusterIndex","refined_origin","compound_class","coraldb_compound_name"
"35","x17026_731_53528_8_146",17026,"Unknown","C42H74N4O2S2","[M + H]+","C42H74N4O2S2","Unknown",0.729844629764557,"Unknown",0.336323022842407,"Unknown",0.528271853923798,"N-acyl amines",0.930099129676819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"36","x19662_682_59798_9_245",19662,"Fatty esters","C41H79NO6","[M + H]+","C41H79NO6","Fatty acids",0.999680161476135,"Fatty esters",0.991192758083344,"Unknown",0.69234836101532,"Fatty acid esters",0.995645046234131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"37","x20695_534_48856_9_8",20695,"Sphingolipids","C34H63NO3","[M + H]+","C34H63NO3","Fatty acids",0.99945479631424,"Sphingolipids",0.996263802051544,"Ceramides",0.996723711490631,"Ceramides",0.99983823299408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Ceramides",NA
"38","x23839_960_65237_11_539",23839,"Unknown","C57H87N5O6","[M + Na]+","C57H87N5O6","Unknown",0.652248442173004,"Unknown",0.754563868045807,"Unknown",0.590115964412689,"Amino acids and derivatives",0.854426145553589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"39","x33723_630_61906_14_068",33723,"Sphingolipids","C42H79NO2","[M + H]+","C42H79NO2","Fatty acids",0.999608218669891,"Sphingolipids",0.997953176498413,"Ceramides",0.998348832130432,"Ceramides",0.998772084712982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Ceramides",NA
"40","x11971_465_3365_6_009",11971,"Unknown","C31H44O3","[M + H]+","C31H44O3","Terpenoids",0.997413992881775,"Unknown",0.364728420972824,"Unknown",0.0956589952111244,"Unknown",0.759497582912445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"41","x18859_696_5408_8_846",18859,"Hexosylceramides","C40H73NO8","[M + H]+","C40H73NO8","Fatty acids",0.998432576656342,"Sphingolipids",0.997413575649262,"Neutral glycosphingolipids",0.999704420566559,"Glycosyl-N-acylsphingosines",0.913446843624115,NA,NA,NA,NA,NA,0.864732,3.24218,"Neutral Glycosphingolipids","Hexosylceramides","HexCer",696.5385,"Niarox",76464,"Host","HexCer","HexCer(32:0;O2) [M+Na]+"
"42","x28298_846_63435_12_802",28298,"Unknown","C50H85N3O6","[M + Na]+","C50H85N3O6","Unknown",0.557301640510559,"Unknown",0.759157180786133,"Unknown",0.506596028804779,"Unknown",0.827474892139435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"43","x22863_768_59077_10_971",22863,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","PC(alkyl)","PC(O-36:4) [M+H]+"
"44","x22902_794_60499_10_997",22902,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","PC(alkyl)","PC(O-38:5) [M+H]+"
