"","metabolite","feature_id","compound_superclass","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_cosine_score","coraldb_mz_error_ppm","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","exact_mass","database","clusterIndex","refined_origin","compound_class","coraldb_compound_name"
"29","x30313_614_58869_13_294",30313,"Sphingolipids","C41H75NO2","[M + H]+","C41H75NO2","Fatty acids",0.998968005180359,"Sphingolipids",0.979211926460266,"Ceramides",0.993757843971252,"Unknown",0.500057995319366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Ceramides",NA
"30","x18747_680_58244_8_796",18747,"Unknown","C41H77NO6","[M + H]+","C41H77NO6","Fatty acids",0.997754514217377,"Unknown",0.761743307113647,"Unknown",0.233697265386581,"N-acyl amines",0.902004957199097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"31","x19191_1318_01649_9_02",19191,"Unknown","C75H136N4O14","[M + H]+","C75H136N4O14","Unknown",0.564059376716614,"Unknown",0.395398914813995,"Unknown",0.130496114492416,"Unknown",0.823403596878052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"32","x25098_804_5946_11_941",25098,"Glycerophospholipids","C44H86NO7PS","[M + H]+","C44H86NO7PS","Fatty acids",0.999990344047546,"Glycerophospholipids",0.997559666633606,"Unknown",0.550163567066193,"Phosphocholines",0.992932677268982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"33","x27746_586_55698_12_658",27746,"Sphingolipids","C39H71NO2","[M + H]+","C39H71NO2","Fatty acids",0.998586297035217,"Sphingolipids",0.866725265979767,"Ceramides",0.941994071006775,"N-acyl amines",0.956502497196198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Ceramides",NA
"34","x23499_836_6164_11_348",23499,"Glycerophospholipids","C48H86NO8P","[M + H]+","C48H86NO8P","Fatty acids",0.999657273292542,"Glycerophospholipids",0.99942684173584,"Glycerophosphocholines",0.998693525791168,"Phosphatidylcholines",0.993407011032104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","PC(diacyl)","PC(40:5)"
"35","x2601_401_34489_2_466",2601,"Unknown","C24H48O2S","[M + H]+","C24H48O2S","Unknown",0.811430931091309,"Unknown",0.356982707977295,"Unknown",0.206028968095779,"Lipids and lipid-like molecules",0.883486688137054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"36","x22863_768_59077_10_971",22863,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","PC(alkyl)","PC(O-36:4) [M+H]+"
"37","x20449_766_57519_9_667",20449,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,0.922637,4.14029,"Spectral Match to Eicosapentaenoyl PAF C-16 from NIST14","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,NA,NA,NA,NA,"Host","PC(alkyl)","PC(O-36:5) [M+H]+"
"38","x23789_794_60652_11_52",23789,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","PC(alkyl)","PC(O-36:5) [M+H]+"
