metabolite,feature_id,compound_superclass,molecular_formula,adduct,precursor_formula,npc_number_pathway,npc_number_pathway_probability,npc_number_superclass,npc_number_superclass_probability,npc_number_class,npc_number_class_probability,classy_fire_number_most_specific_class,classy_fire_number_most_specific_class_probability,gnps_cosine_score,gnps_mz_error_ppm,gnps_compound_name,gnps_compound_class,gnps_compound_subclass,coraldb_cosine_score,coraldb_mz_error_ppm,coraldb_compound_family,coraldb_compound_superclass,coraldb_compound_class,exact_mass,database,clusterIndex,refined_origin,compound_class,coraldb_compound_name
x19344_800_60417_9_097,19344,Diacylglyceryl-carboxyhydroxymethylcholines,C46H83NO8,[M + Na]+,C46H83NO8,Fatty acids,0.9749539494514464,Unknown,0.14863771200180054,Unknown,0.11446613073349,Unknown,0.5046009421348572,NA,NA,NA,NA,NA,0.971896,0.762364,Betaine Lipid,Diacylglyceryl-carboxyhydroxymethylcholines,DGCC,800.603569,Niarox,75689,Symbiont,DGCC,DGCC(16:0/22:6) [M+H]+
x3156_482_36064_2_937,3156,Phosphatidylglycerocholines,C24H52NO6P,[M + H]+,C24H52NO6P,Fatty acids,0.9999808073043824,Glycerophospholipids,0.999315619468689,Glycerophosphocholines,0.9976650476455688,Glycerophosphocholines,0.9574427604675292,0.931122,1.26534,Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14,Glycerophospholipids,Glycerophosphocholines,0.994773,0.189801,Phospholipid,Phosphatidylglycerocholines,Lyso-PC(alkyl),482.36047,Niarox,30246,Host,Lyso-PC(alkyl),Lyso-PC(O-16:0) [M+H]+
x19279_643_51751_9_054,19279,Ceramide aminoethylphosphonates,C38H66N4O4,[M + H]+,C38H66N4O4,Fatty acids,0.9896743893623352,Sphingolipids,0.990752100944519,Ceramides,0.9764333367347716,Unknown,0.5022244453430176,NA,NA,NA,NA,NA,0.878557,0.37938499999999997,Phosphoshingolipids,Ceramide aminoethylphosphonates,CAEP,643.5173,KARP,122777,Host,CAEP,CAEP(34:2;O2) [M+H]+
x6124_510_39212_3_959,6124,Phosphatidylglycerocholines,C26H56NO6P,[M + H]+,C26H56NO6P,Fatty acids,0.9999843835830688,Glycerophospholipids,0.9994255304336548,Glycerophosphocholines,0.9979958534240724,Glycerophosphocholines,0.9504868388175964,0.935098,2.15253,Spectral Match to Lyso-PAF C-18 from NIST14,N/A,N/A,0.995258,0.538132,Phospholipid,Phosphatidylglycerocholines,Lyso-PC(alkyl),510.39187,Niarox,40924,Host,Lyso-PC(alkyl),Lyso-PC(O-18:0) [M+H]+
x1935_553_33175_1_992,1935,Carotenoids (C40),C37H44O4,[M + H]+,C37H44O4,Terpenoids,0.9965907335281372,Carotenoids (C40),0.9990580677986144,"Carotenoids (C40, Î²-Î²)",0.977711260318756,Unknown,0.55423504114151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,"Carotenoids (C40, Î²-Î²)",NA
x29061_872_57546_12_975,29061,Oligopeptides,C43H73N11O8,[M + H]+,C43H73N11O8,Amino acids and Peptides,0.9890613555908204,Oligopeptides,0.9335289597511292,Unknown,0.6174098253250122,Unknown,0.6847430467605591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Unknown,NA
x25808_746_60638_12_152,25808,Glycerophospholipids,C42H84NO7P,[M + H]+,C42H84NO7P,Fatty acids,0.9999288320541382,Glycerophospholipids,0.9980395436286926,Glycerophosphocholines,0.9994648098945618,"1-alkyl,2-acylglycero-3-phosphocholines",0.8869914412498474,0.916826,5.88604,Spectral Match to 1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,Both,Glycerophosphocholines,NA
x26021_752_55957_12_218,26021,Phosphatidylglyceroethanolamines,C45H73N3O6,[M + H]+,C45H73N3O6,Unknown,0.7200570702552795,Unknown,0.22714804112911224,Unknown,0.13192389905452728,Unknown,0.7657690644264221,NA,NA,NA,NA,NA,0.914936,0.892138,Phospholipid,Phosphatidylglyceroethanolamines,PE (mono-alkyl-mono-acyl),752.5589,Niarox,90262,Host,PE (mono-alkyl-mono-acyl),PE(O-38:5) [M+H]+
x7916_298_31064_4_523,7916,Unknown,C19H39NO,[M + H]+,C19H39NO,Unknown,0.5371061563491821,Unknown,0.4488924741744995,Unknown,0.379709929227829,Unknown,0.6398911476135254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Unknown,NA
x14914_354_37285_7_258,14914,Unknown,C23H47NO,[M + H]+,C23H47NO,Unknown,0.7180269360542297,Unknown,0.6055864691734314,Unknown,0.35800546407699585,Unknown,0.6473406553268433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Unknown,NA
x39288_846_75538_15_912,39288,Triacylglycerols,C51H101NO6,[M + Na]+,C51H101NO6,Fatty acids,0.9998013377189636,Glycerolipids,0.9912105798721312,Triacylglycerols,0.9966957569122314,Unknown,0.6698206067085266,NA,NA,NA,NA,NA,0.882622,2.01828,Glycerolipid,Triacylglycerols,Triacylglycerols,846.75367,Niarox,115847,Both,Triacylglycerols,TAG(16:0/16:0/18:3) [M+NH4]+
x2457_496_33999_2_452,2457,Phosphatidylglycerocholines,C24H50NO7P,[M + H]+,C24H50NO7P,Fatty acids,0.9978927969932556,Glycerophospholipids,0.9998847246170044,Glycerophosphocholines,0.9974491000175476,1-acyl-sn-glycero-3-phosphocholines,0.9290048480033876,0.953221,0,1-Palmitoylglycerophosphocholine,Glycerophospholipids,Glycerophosphocholines,0.989371,0.368912,Phospholipid,Phosphatidylglycerocholines,Lyso-PC(acyl),496.339735,Niarox,25015,Both,Lyso-PC(acyl),Lyso-PC(16:0) [M+H]+
x4782_524_37152_3_571,4782,Phosphatidylglycerocholines,C26H54NO7P,[M + H]+,C26H54NO7P,Fatty acids,0.997793674468994,Glycerophospholipids,0.999913215637207,Glycerophosphocholines,0.9990634322166444,1-acyl-sn-glycero-3-phosphocholines,0.948574960231781,0.927199,8.61344,Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14,N/A,N/A,0.992036,0.814778,Phospholipid,Phosphatidylglycerocholines,Lyso-PC(acyl),524.371135,Niarox,36580,Both,Lyso-PC(acyl),Lyso-PC(18:0) [M+H]+
x2684_522_30741_2_622,2684,Unknown,C28H43NO8,[M + H]+,C28H43NO8,Terpenoids,0.8890722393989563,Unknown,0.711861789226532,Unknown,0.16730505228042605,Diterpenoids,0.9742602705955504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x11271_786_51583_5_708,11271,Monogalactosyldiacylglycerol,C43H73NO10,[M + Na]+,C43H73NO10,Fatty acids,0.9915952086448668,Unknown,0.8150089383125305,Unknown,0.09870181232690813,Unknown,0.547727644443512,NA,NA,NA,NA,NA,0.92062600000000006,0.931224,Galactolipid,Monogalactosyldiacylglycerol,MGDG,786.5151,Niarox,53317,Symbiont,MGDG,MGDG(18:4/18:5) [M+NH4]+
x22285_536_50395_10_6,22285,Sphingolipids,C34H65NO3,[M + H]+,C34H65NO3,Fatty acids,0.9996843338012696,Sphingolipids,0.997645914554596,Ceramides,0.9978188276290894,Ceramides,0.9999117851257324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Ceramides,NA
x28976_812_66148_12_988,28976,Sphingolipids,C47H89NO9,[M + H]+,C47H89NO9,Fatty acids,0.9979801774024964,Sphingolipids,0.9994669556617736,Neutral glycosphingolipids,0.9996343851089478,Glycosyl-N-acylsphingosines,0.864445686340332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Neutral glycosphingolipids,NA
x19132_750_58779_8_989,19132,Diacylglyceryl-carboxyhydroxymethylcholines,C42H81NO8,[M + Na]+,C42H81NO8,Fatty acids,0.9849810600280762,Unknown,0.11315857619047164,Unknown,0.7749351859092712,Unknown,0.613456130027771,NA,NA,NA,NA,NA,0.971905,0.325266,Betaine Lipid,Diacylglyceryl-carboxyhydroxymethylcholines,DGCC,750.587569,Niarox,75461,Symbiont,DGCC,DGCC(16:0/18:3) [M+H]+
x39151_896_77192_15_839,39151,Triacylglycerols,C55H103NO6,[M + Na]+,C55H103NO6,Fatty acids,0.9999831914901732,Glycerolipids,0.9464691281318665,Triacylglycerols,0.986405909061432,Triacylglycerols,0.9248883724212646,NA,NA,NA,NA,NA,0.779031,3.74337,Glycerolipid,Triacylglycerols,Triacylglycerols,896.76853,Niarox,114684,Both,Triacylglycerols,TAG(16:0/16:0/22:6) [M+NH4]+
x22281_518_49367_10_602,22281,Sphingolipids,C34H63NO2,[M + H]+,C34H63NO2,Fatty acids,0.9983862638473512,Sphingolipids,0.9934559464454652,Ceramides,0.9963958859443665,Ceramides,0.997822642326355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Ceramides,NA
x1934_631_36289_1_989,1934,Carotenoids (C40),C39H50O7,[M + H]+,C39H50O7,Terpenoids,0.9985634684562684,Carotenoids (C40),0.9425112009048462,"Carotenoids (C40, Î²-Î²)",0.9787006974220276,Unknown,0.5060609579086304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,"Carotenoids (C40, Î²-Î²)",NA
x20887_782_5699_9_886,20887,Glycerophospholipids,C44H80NO8P,[M + H]+,C44H80NO8P,Fatty acids,0.999783456325531,Glycerophospholipids,0.9993701577186584,Glycerophosphocholines,0.9934847950935364,Phosphatidylcholines,0.9866963028907776,0.92553,1.40388,"Spectral Match to 1,2-Dilinoleoyl-sn-glycero-3-phosphocholine from NIST14",Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,NA,NA,NA,NA,NA,Both,Glycerophosphocholines,NA
x14538_872_60438_7_095,14538,Diacylglyceryl-carboxyhydroxymethylcholines,C52H83NO8,[M + Na]+,C52H83NO8,Fatty acids,0.9096086025238036,Unknown,0.07456474006175995,Unknown,0.07265880703926086,Unknown,0.8006681203842163,NA,NA,NA,NA,NA,0.973697,0.769406,Betaine Lipid,Diacylglyceryl-carboxyhydroxymethylcholines,DGCC,872.603719,Niarox,63104,Symbiont,DGCC,DGCC(22:6/22:6) [M+H]+
x26380_784_62973_12_327,26380,Hexosylceramides,C45H85NO9,[M + H]+,C45H85NO9,Fatty acids,0.9983311295509338,Sphingolipids,0.9995670914649964,Neutral glycosphingolipids,0.9996324777603148,Unknown,0.8089374899864197,NA,NA,NA,NA,NA,0.794859,0,Neutral Glycosphingolipids,Hexosylceramides,HexCer,784.6297,Niarox,95071,Host,HexCer,HexCer(39:2;O3) [M+H]+
x29662_871_57509_13_138,29662,Unknown,C48H79N4O8P,[M + H]+,C48H79N4O8P,Unknown,0.5005370378494263,Unknown,0.24753941595554352,Unknown,0.11104940623044968,Unknown,0.6259322166442871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Unknown,NA
x1941_613_35232_1_994,1941,Carotenoids (C40),C39H48O6,[M + H]+,C39H48O6,Terpenoids,0.994016408920288,Carotenoids (C40),0.96757310628891,"Carotenoids (C40, Î²-Î²)",0.9627304077148436,Unknown,0.5019471645355225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,"Carotenoids (C40, Î²-Î²)",NA
x12235_963_83336_6_115,12235,Unknown,C24H29I4N3O6,[M + H]+,C24H29I4N3O6,Unknown,0.6694401502609253,Unknown,0.7143590450286865,Unknown,0.06175308302044868,Unknown,0.7900574207305908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x17833_774_58833_8_428,17833,Diacylglyceryl-carboxyhydroxymethylcholines,C44H81NO8,[M + Na]+,C44H81NO8,Fatty acids,0.9652335047721864,Unknown,0.07550346851348877,Unknown,0.3321898877620697,Unknown,0.5111029744148254,NA,NA,NA,NA,NA,0.972867,0.709173,Betaine Lipid,Diacylglyceryl-carboxyhydroxymethylcholines,DGCC,774.587769,Niarox,72299,Symbiont,DGCC,DGCC(16:0/20:5) [M+H]+
x39152_924_79895_15_844,39152,Unknown,C42H25Br5,[M + H]+,C42H25Br5,Unknown,0.4466949701309204,Unknown,0.35040417313575745,Unknown,0.67223060131073,Unknown,0.7144211530685425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Unknown,NA
x6230_466_32962_3_999,6230,Unknown,C23H48NO6P,[M + H]+,C23H48NO6P,Fatty acids,0.9997876286506652,Unknown,0.7951242923736572,Unknown,0.6432043313980103,Unknown,0.713779866695404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x37328_918_7549_15_129,37328,Triacylglycerols,C54H99N3O8,[M + H]+,C54H99N3O8,Unknown,0.6373155117034912,Unknown,0.7019686698913574,Unknown,0.5480647683143616,Unknown,0.6267136335372925,NA,NA,NA,NA,NA,0.878189,5.31463,Glycerolipid,Triacylglycerols,Triacylglycerols,918.75003,Niarox,110915,Both,Triacylglycerols,TAG(18:3/18:3/20:3) [M+NH4]+
x39847_822_75508_16_151,39847,Triacylglycerols,C47H95N7O4,[M + H]+,C47H95N7O4,Fatty acids,0.9883964657783508,Unknown,0.833619236946106,Unknown,0.8350656628608704,Fatty acid esters,0.973231554031372,NA,NA,NA,NA,NA,0.873924,2.37389,Glycerolipid,Triacylglycerols,Triacylglycerols,822.75316,Niarox,116827,Both,Triacylglycerols,TAG(16:0/16:0/16:1) / TAG(16:0/14:0/18:1) [M+NH4]+
x28888_873_57794_12_975,28888,Oligopeptides,C43H78N8O9,[M + Na]+,C43H78N8O9,Amino acids and Peptides,0.9836604595184326,Oligopeptides,0.9739227294921876,Cyclic peptides,0.890235424041748,Unknown,0.6003944277763367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Cyclic peptides,NA
x39888_848_77057_16_173,39888,Triacylglycerols,C51H103NO6,[M + Na]+,C51H103NO6,Fatty acids,0.9996451139450072,Glycerolipids,0.9915878176689148,Triacylglycerols,0.9994412064552308,Triacylglycerols,0.9828203916549684,NA,NA,NA,NA,NA,0.846685,2.01349,Glycerolipid,Triacylglycerols,Triacylglycerols,848.7659,Niarox,114997,Both,Triacylglycerols,TAG(16:0/16:0/18:2) [M+NH4]+
x40661_850_7868_16_556,40661,Triacylglycerols,C51H105NO6,[M + Na]+,C51H105NO6,Fatty acids,0.999883770942688,Glycerolipids,0.9974144697189332,Triacylglycerols,0.9999077320098876,Triacylglycerols,0.975674033164978,NA,NA,NA,NA,NA,0.820402,2.72611,Glycerolipid,Triacylglycerols,Triacylglycerols,850.78449,Niarox,118172,Both,Triacylglycerols,TAG(16:0/16:0/18:1) [M+NH4]+
x1507_562_37446_1_671,1507,Diacylglyceryl-carboxyhydroxymethylcholines,C32H51NO7,[M + H]+,C32H51NO7,Unknown,0.29151877760887146,Unknown,0.30514392256736755,Unknown,0.15500272810459137,Unknown,0.7054458856582642,0.922239,0.86825,Lyso DGCC (22:6),N/A,N/A,0.98436,0.325594,Betaine Lipid,Diacylglyceryl-carboxyhydroxymethylcholines,Lyso-DGCC,562.3743,Niarox,14596,Symbiont,Lyso-DGCC,Lyso-DGCC(22:6) [M+H]+
x39291_874_78344_15_911,39291,Triacylglycerols,C55H103NO6,[M + H]+,C55H103NO6,Fatty acids,0.9965554475784302,Glycerolipids,0.9911164045333862,Triacylglycerols,0.9998674392700196,Triacylglycerols,0.9778926968574524,NA,NA,NA,NA,NA,0.770704,3.20951,Glycerolipid,Triacylglycerols,Triacylglycerols,874.78057,Niarox,115166,Both,Triacylglycerols,TAG(16:0/18:1/18:2) [M+NH4]+
x2228_632_46435_2_237,2228,Oligopeptides,C36H61N3O6,[M + H]+,C36H61N3O6,Polyketides,0.9867223501205444,Oligopeptides,0.894126296043396,Depsipeptides,0.9303955435752868,Unknown,0.7984881401062012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Depsipeptides,NA
x11404_976_60001_5_769,11404,Digalactosyldiacylglycerol,C53H85NO15,[M + H]+,C53H85NO15,Fatty acids,0.9816126823425292,Glycerolipids,0.9575225710868835,Glycosyldiacylglycerols,0.9384329319000244,Unknown,0.5060655474662781,NA,NA,NA,NA,NA,0.90946,0.687474,Galactolipid,Digalactosyldiacylglycerol,DGDG,976.5993,Niarox,54003,Symbiont,DGDG,DGDG(18:4/20:5) [M+NH4]+
x3334_676_42012_3_03,3334,Unknown,C37H53N7O5,[M + H]+,C37H53N7O5,Unknown,0.5291929841041565,Unknown,0.6600895524024963,Unknown,0.11637050658464432,Unknown,0.7034294009208679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x23174_724_5283_11_167,23174,Phosphatidylglyceroethanolamines,C43H69N3O6,[M + H]+,C43H69N3O6,Unknown,0.626725971698761,Unknown,0.18846571445465088,Unknown,0.1660993993282318,Unknown,0.6202585697174072,NA,NA,NA,NA,NA,0.912693,1.0109,Phospholipid,Phosphatidylglyceroethanolamines,PE (mono-alkyl-mono-acyl),724.5276,KARP,145224,Host,PE (mono-alkyl-mono-acyl),PE(O-36:5) [M+H]
x3283_553_33115_3_028,3283,Carotenoids (C40),C37H44O4,[M + H]+,C37H44O4,Terpenoids,0.994034707546234,Carotenoids (C40),0.997729241847992,"Carotenoids (C40, Î²-Î²)",0.979401171207428,Unknown,0.7228784561157227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,"Carotenoids (C40, Î²-Î²)",NA
x21086_645_53352_9_984,21086,Ceramide aminoethylphosphonates,C38H68N4O4,[M + H]+,C38H68N4O4,Fatty acids,0.9979313611984252,Sphingolipids,0.9987733960151672,Ceramides,0.9990708827972412,Ceramides,0.9999947547912598,NA,NA,NA,NA,NA,0.910632,0.7564,Phosphoshingolipids,Ceramide aminoethylphosphonates,CAEP,645.533,KARP,133370,Both,CAEP,CAEP(34:1;O2) [M+H]+
x11192_791_46977_5_681,11192,Carotenoids (C40),C54H62O5,[M + H]+,C54H62O5,Terpenoids,0.9839026927947998,Carotenoids (C40),0.9932914972305298,Unknown,0.4538547396659851,Unknown,0.6326745748519897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x3192_1315_95132_2_96,3192,Unknown,C80H130O14,[M + H]+,C80H130O14,Unknown,0.41709765791893005,Unknown,0.099249005317688,Unknown,0.17065678536891937,Unknown,0.8011804819107056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x37978_894_75516_15_378,37978,Triacylglycerols,C55H101NO6,[M + Na]+,C55H101NO6,Fatty acids,0.9985185265541076,Unknown,0.5083656907081604,Triacylglycerols,0.8560686111450195,N-acyl amines,0.9527975916862488,NA,NA,NA,NA,NA,0.762002,2.11465,Glycerolipid,Triacylglycerols,Triacylglycerols,894.75327,Niarox,113459,Both,Triacylglycerols,TAG(16:0/16:1/22:6) / (16:0/18:3/20:4) [M+NH4]+
x39976_874_78599_16_215,39976,Triacylglycerols,C50H97N11,[M + Na]+,C50H97N11,Alkaloids,0.9716623425483704,Unknown,0.40893206000328064,Unknown,0.16425886750221252,Heteroaromatic compounds,0.965584635734558,NA,NA,NA,NA,NA,0.76008,6.2097,Glycerolipid,Triacylglycerols,Triacylglycerols,874.78057,Niarox,115166,Both,Triacylglycerols,TAG(16:0/18:1/18:2) [M+NH4]+
x39261_872_77072_15_898,39261,Triacylglycerols,C53H103NO6,[M + Na]+,C53H103NO6,Fatty acids,0.9996758699417114,Glycerolipids,0.9875643849372864,Triacylglycerols,0.9993484616279602,Triacylglycerols,0.98138028383255,NA,NA,NA,NA,NA,0.774464,3.42671,Glycerolipid,Triacylglycerols,Triacylglycerols,872.7677,Niarox,115311,Both,Triacylglycerols,TAG(16:0/18:2/18:2) [M+NH4]+
x38158_844_73924_15_454,38158,Triacylglycerols,C51H99NO6,[M + Na]+,C51H99NO6,Fatty acids,0.9993886947631836,Glycerolipids,0.970704197883606,Triacylglycerols,0.9897000789642334,Unknown,0.5980072617530823,NA,NA,NA,NA,NA,0.843476,3.39591,Glycerolipid,Triacylglycerols,Triacylglycerols,844.73631,Niarox,113271,Both,Triacylglycerols,TAG(16:0/16:1/18:3) / TAG(14:0/18:1/18:3) [M+NH4]+
x19338_803_61074_9_096,19338,Unknown,C42H82N4O10,[M + H]+,C42H82N4O10,Unknown,0.7193976640701294,Unknown,0.6989349126815796,Unknown,0.24507014453411105,Unknown,0.780320942401886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x2564_490_37454_2_528,2564,Diacylglyceryl-carboxyhydroxymethylcholines,C26H51NO7,[M + H]+,C26H51NO7,Fatty acids,0.8961080312728882,Glycerophospholipids,0.9619807600975036,Unknown,0.2043396383523941,Unknown,0.5330293774604797,NA,NA,NA,NA,NA,0.971496,1.55583,Betaine Lipid,Diacylglyceryl-carboxyhydroxymethylcholines,Lyso-DGCC,490.373754,Niarox,21331,Symbiont,Lyso-DGCC,Lyso-DGCC(16:0) [M+H]+
x28984_794_65144_12_988,28984,Hexosylceramides,C45H89NO8,[M + Na]+,C45H89NO8,Fatty acids,0.9989103078842164,Sphingolipids,0.99985504150390625,Neutral glycosphingolipids,0.9998531341552734,Unknown,0.6606024503707886,NA,NA,NA,NA,NA,0.947048,4.30124,Neutral Glycosphingolipids,Hexosylceramides,HexCer,794.648,Niarox,100676,Both,HexCer,HexCer(39:0;O2) [M+Na]+
x19255_518_49318_9_043,19255,Sphingolipids,C34H63NO2,[M + H]+,C34H63NO2,Fatty acids,0.9821857810020448,Sphingolipids,0.91614365577697765,Ceramides,0.884093701839447,Unknown,0.7582240104675293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Ceramides,NA
x14243_429_37252_6_962,14243,Meroterpenoids,C29H48O2,[M + H]+,C29H48O2,Terpenoids,0.9998396635055542,Meroterpenoids,0.9997712969779968,Prenyl quinone meroterpenoids,1,Vitamin E compounds,0.9999874830245972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Prenyl quinone meroterpenoids,NA
x17948_659_51273_8_479,17948,Ceramide aminoethylphosphonates,C38H66N4O5,[M + H]+,C38H66N4O5,Fatty acids,0.9947899580001832,Sphingolipids,0.9974042773246764,Ceramides,0.987929105758667,Ceramides,0.999964952468872,NA,NA,NA,NA,NA,0.919427,0.555275,Phosphoshingolipids,Ceramide aminoethylphosphonates,CAEP,644.5173,KARP,127423,Host,CAEP,CAEP(34:2;O3) [M+H]+
x20369_752_56752_9_622,20369,Sphingolipids,C43H77NO9,[M + H]+,C43H77NO9,Fatty acids,0.9971073269844056,Sphingolipids,0.9980157613754272,Neutral glycosphingolipids,0.9994592070579528,Unknown,0.7271276116371155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Neutral glycosphingolipids,NA
x3324_613_35251_3_024,3324,Carotenoids (C40),C39H48O6,[M + H]+,C39H48O6,Terpenoids,0.9959546327590942,Carotenoids (C40),0.867906391620636,"Carotenoids (C40, Î²-Î²)",0.978421151638031,Unknown,0.6737954020500183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,"Carotenoids (C40, Î²-Î²)",NA
x27743_798_64507_12_659,27743,Sphingolipids,C43H90N3O6P,[M + Na]+,C43H90N3O6P,Fatty acids,0.999832034111023,Sphingolipids,0.9997987151145936,Phosphosphingolipids,0.9963830709457396,Phosphosphingolipids,0.9996721744537354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Phosphosphingolipids,NA
x14250_795_50188_6_967,14250,Carotenoids (C40),C54H66O5,[M + H]+,C54H66O5,Terpenoids,0.9308182001113892,Carotenoids (C40),0.9322109222412108,Unknown,0.12119371443986891,Unknown,0.7154905200004578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Unknown,NA
x14249_790_54653_6_965,14249,Monogalactosyldiacylglycerol,C43H77NO10,[M + Na]+,C43H77NO10,Fatty acids,0.9998350143432616,Glycerolipids,0.9103689193725586,Unknown,0.2330242395401001,Unknown,0.6946682333946228,NA,NA,NA,NA,NA,0.919736,0.154413,Galactolipid,Monogalactosyldiacylglycerol,MGDG,790.5464,Niarox,62811,Symbiont,MGDG,MGDG(18:3/18:4) [M+NH4]+
x40077_924_80245_16_253,40077,Triacylglycerols,C59H105NO6,[M + H]+,C59H105NO6,Fatty acids,0.9980877041816713,Unknown,0.5118148326873779,Unknown,0.8262202143669128,Unknown,0.7104910016059875,NA,NA,NA,NA,NA,0.794451,3.23391,Glycerolipid,Triacylglycerols,Triacylglycerols,924.80035,Niarox,117149,Both,Triacylglycerols,TAG(16:0/18:0/22:6) [M+NH4]+
x40629_876_80182_16_545,40629,Triacylglycerols,C53H107NO6,[M + Na]+,C53H107NO6,Fatty acids,0.9992530941963196,Glycerolipids,0.9952076077461244,Triacylglycerols,0.9998793601989746,Triacylglycerols,0.9915158748626708,NA,NA,NA,NA,NA,0.757266,2.36678,Glycerolipid,Triacylglycerols,Triacylglycerols,876.79976,Niarox,118165,Both,Triacylglycerols,TAG(16:0/18:0/18:2) [M+NH4]+
x38869_820_73925_15_735,38869,Triacylglycerols,C47H93N7O4,[M + H]+,C47H93N7O4,Fatty acids,0.9879109859466552,Unknown,0.6981591582298279,Unknown,0.45715561509132385,Unknown,0.5531683564186096,NA,NA,NA,NA,NA,0.872357,2.15662,Glycerolipid,Triacylglycerols,Triacylglycerols,820.73756,Niarox,114935,Both,Triacylglycerols,TAG(14:0/16:1/18:1) / TAG(14:0/16:0/18:2) [M+NH4]+
x477_792_36432_1_079,477,Unknown,C45H45N9O5,[M + H]+,C45H45N9O5,Amino acids and Peptides,0.924788534641266,Unknown,0.4736007153987885,Unknown,0.30255573987960815,Unknown,0.6852018237113953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x10280_950_58444_5_376,10280,Digalactosyldiacylglycerol,C48H87NO15S,[M + H]+,C48H87NO15S,Fatty acids,0.99910306930542,Glycerolipids,0.9852864742279052,Glycosyldiacylglycerols,0.9129727482795716,Unknown,0.6124635338783264,NA,NA,NA,NA,NA,0.917957,0.963121,Galactolipid,Digalactosyldiacylglycerol,DGDG,950.5835,Niarox,50913,Symbiont,DGDG,DGDG(18:4/18:4) [M+NH4]+
x2706_632_46525_2_607,2706,Oligopeptides,C36H61N3O6,[M + H]+,C36H61N3O6,Polyketides,0.9724662899971008,Oligopeptides,0.8889384269714355,Depsipeptides,0.9258269667625428,Unknown,0.516845703125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Depsipeptides,NA
x3140_504_34195_2_931,3140,Glycerophospholipids,C24H52NO6P,[M + Na]+,C24H52NO6P,Fatty acids,0.9999945163726808,Glycerophospholipids,0.9993146657943726,Glycerophosphocholines,0.9962998032569884,Glycerophosphocholines,0.989992082118988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Glycerophosphocholines,NA
