metabolite,feature_id,compound_superclass,molecular_formula,adduct,precursor_formula,npc_number_pathway,npc_number_pathway_probability,npc_number_superclass,npc_number_superclass_probability,npc_number_class,npc_number_class_probability,classy_fire_number_most_specific_class,classy_fire_number_most_specific_class_probability,gnps_cosine_score,gnps_mz_error_ppm,gnps_compound_name,gnps_compound_class,gnps_compound_subclass,coraldb_cosine_score,coraldb_mz_error_ppm,coraldb_compound_family,coraldb_compound_superclass,coraldb_compound_class,exact_mass,database,clusterIndex,refined_origin,compound_class,coraldb_compound_name
x276_365_2309_0_921,276,Unknown,C19H34O5,[M + Na]+,C19H34O5,Unknown,0.5929061770439148,Unknown,0.6202607750892639,Unknown,0.5900037288665771,Unknown,0.5285274982452393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x38647_1125_79849_15_636,38647,Oligopeptides,C58H106N10O10,[M + Na]+,C58H106N10O10,Amino acids and Peptides,0.9483777284622192,Oligopeptides,0.9644419550895692,Unknown,0.8427079319953918,N-acyl-alpha amino acids,0.9313209652900696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x7877_816_57745_4_492,7877,Glycerophospholipids,C44H82NO10P,[M + H]+,C44H82NO10P,Fatty acids,0.9999510049819946,Glycerophospholipids,0.999932050704956,Oxidized glycerophospholipids,0.894831120967865,Phosphatidylcholines,0.9872275590896606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Oxidized glycerophospholipids,NA
x38991_956_86288_15_841,38991,Unknown,C36H30Br4N2O8,[M + Na]+,C36H30Br4N2O8,Unknown,0.5428062677383423,Unknown,0.3832525610923767,Unknown,0.14061714708805084,Unknown,0.5437880158424377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Unknown,NA
x12527_776_58428_6_263,12527,Unknown,C49H77NO6,[M + H]+,C49H77NO6,Fatty acids,0.9848380088806152,Unknown,0.5279389023780823,Triacylglycerols,0.8873924016952515,Unknown,0.8492804765701294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Triacylglycerols,NA
x27249_981_69746_12_545,27249,Oligopeptides,C50H92N8O11,[M + H]+,C50H92N8O11,Amino acids and Peptides,0.9380905032157898,Oligopeptides,0.9898186326026917,Unknown,0.8420429825782776,Alpha amino acids and derivatives,0.9896730184555054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x18800_1069_93349_8_828,18800,Unknown,C29H38I3NO18,[M + H]+,C29H38I3NO18,Unknown,0.7597933411598206,Unknown,0.10368581861257552,Unknown,0.07278119772672653,Unknown,0.7014739513397217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x3780_552_40461_3_21,3780,Unknown,C33H55NO4,[M + Na]+,C33H55NO4,Fatty acids,0.9713616371154784,Unknown,0.2788243293762207,Unknown,0.5868479609489441,Unknown,0.8361316919326782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x33982_912_53661_14_108,33982,Oligopeptides,C38H69N15O11,[M + H]+,C38H69N15O11,Amino acids and Peptides,0.9457293748855592,Oligopeptides,0.88565593957901,Unknown,0.4047920405864715,Unknown,0.546110212802887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x6503_546_23859_4_096,6503,Unknown,C32H30F3N3O2,[M + H]+,C32H30F3N3O2,Alkaloids,0.9855912923812866,Unknown,0.4717600047588349,Unknown,0.4943535327911377,Amino acids and derivatives,0.9508129358291626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x21066_659_54714_9_981,21066,Sphingolipids,C39H70N4O4,[M + H]+,C39H70N4O4,Fatty acids,0.9886214137077332,Sphingolipids,0.9933875799179076,Ceramides,0.994857907295227,Ceramides,0.9994320273399352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Ceramides,NA
x6724_347_25797_4_138,6724,Unknown,C22H34O3,[M + H]+,C22H34O3,Terpenoids,0.8579381108283997,Unknown,0.6755802035331726,Unknown,0.24881429970264435,Unknown,0.537765622138977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x22167_692_55986_10_532,22167,Glycerophospholipids,C38H78NO7P,[M + H]+,C38H78NO7P,Fatty acids,0.999946117401123,Glycerophospholipids,0.9999303817749025,Glycerophosphocholines,0.9998718500137328,Unknown,0.834420919418335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Glycerophosphocholines,NA
x28818_780_6112_12_962,28818,Sphingolipids,C47H83NO6,[M + Na]+,C47H83NO6,Fatty acids,0.9866328239440918,Sphingolipids,0.984459400177002,Unknown,0.7899194359779358,N-acyl amines,0.9848918914794922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x31888_1173_72371_13_659,31888,Unknown,C58H106N2O20,[M + Na]+,C58H106N2O20,Alkaloids,0.9807143807411194,Unknown,0.2646847367286682,Unknown,0.843288004398346,Unknown,0.8469057083129883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x9715_686_53675_5_13,9715,Sphingolipids,C42H71NO6,[M + H]+,C42H71NO6,Fatty acids,0.9940430521965028,Sphingolipids,0.8953364491462708,Neutral glycosphingolipids,0.9520502686500548,Unknown,0.7176254391670227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Neutral glycosphingolipids,NA
x22645_848_61721_10_846,22645,Glycerophospholipids,C49H86NO8P,[M + H]+,C49H86NO8P,Fatty acids,0.9993257522583008,Glycerophospholipids,0.999041736125946,Glycerophosphocholines,0.998212456703186,Phosphatidylcholines,0.9916734099388124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Glycerophosphocholines,NA
