Feature,XGBoost_Importance,RandomForest_Importance
x15256_518_49365_7_407,0.27158654,0.01142681630223538
x37973_670_68312_15_374,0.1732309,0.0024505701217339953
x1831_394_26003_1_922,0.15228572,0.008745852987717954
x40448_910_82144_16_435,0.0971314,0.005562673425079714
x39055_948_80202_15_826,0.037715163,0.011125669455136161
x23838_655_56593_11_538,0.047810327,0.0005218091464014048
x39264_974_81744_15_901,0.029512944,0.007521743179185737
x1014_394_26002_1_302,0.027023783,0.002901271797951784
x35957_1184_27148_14_665,0.029866137,0.0
x16964_784_52465_8_108,0.026258936,0.0
x36802_532_54586_14_943,0.009491773,0.009180097185693284
x31960_522_56157_13_672,0.014961922,0.00026104833909669804
x38232_946_78554_15_489,0.011533339,0.0019855672008523566
x9995_364_35814_5_254,0.013399422,4.311816157654687e-05
x39975_976_83346_16_206,0.0,0.012886134614197754
x21706_518_49399_10_315,0.0061991694,0.006226135123196312
x38490_972_80122_15_591,0.0,0.010328874475710386
x38022_1212_30251_15_389,0.0,0.008617866914871777
x33780_862_69116_14_061,0.0,0.008607594460246809
x39601_906_79162_16_052,0.0,0.008558476000776433
x39737_662_71722_16_103,0.0022542907,0.00611929086893117
x38037_868_74023_15_408,0.008298375,0.0
x37719_944_77041_15_287,0.0,0.00781259582189089
x2710_510_35483_2_631,0.007689485,0.0
x35928_1100_17773_14_654,0.0,0.0076404698195410735
x38921_524_57716_15_757,0.0029754746,0.004332481808172318
x35948_614_62111_14_661,0.0,0.007258120072788158
x40690_852_79704_16_58,0.0,0.00717598004576461
x40629_876_80182_16_545,0.0,0.007055338472534913
x38318_998_81178_15_523,0.0,0.006975968650364686
x33033_620_70789_13_898,0.0,0.006887439439974567
x32551_534_56198_13_781,0.0044492325,0.0020550253838929637
x37069_1156_23805_15_05,0.0,0.006388534007939723
x37972_922_7828_15_357,0.0,0.00637597045058662
x39541_932_80618_16_033,0.0,0.0063016010626676736
x39479_1325_43242_15_993,0.0,0.0061176233341339575
x36954_496_5458_14_992,0.0,0.005844770259333623
x32507_622_61287_13_786,0.0,0.005681577822460369
x4522_413_37368_3_483,0.0,0.005658389139384945
x40099_884_8047_16_271,0.0,0.005628811127370027
x39503_1000_83267_15_996,0.0,0.005539493677012789
x40479_1004_86393_16_449,0.0,0.005533860057382373
x38889_848_76831_15_729,0.0,0.005514957806629596
x25984_830_3443_12_211,0.005429106,5.059375369852502e-05
x38036_606_65523_15_389,0.0,0.005293408205647909
x20945_808_58514_9_921,0.005060161,1.9728749078114073e-05
x25664_406_79353_12_096,0.0,0.005067151604470609
x38809_870_75649_15_74,0.0,0.004952844429692212
x40597_928_83123_16_485,0.0,0.004894807926380143
x25250_669_58218_11_976,0.0,0.004886922529019473
x40676_551_50339_16_57,0.0,0.004833872187743388
x41236_880_82891_16_953,0.0,0.004777234364773202
x38801_904_77237_15_725,0.002802802,0.0019643559266246326
x10808_708_49607_5_57,0.0046519465,0.0
x37988_749_82253_15_376,0.0,0.004579612970335516
x31043_602_58816_13_46,0.0,0.004516447272731664
x30325_673_57807_13_293,0.0,0.004501175573004153
x38990_552_60847_15_779,0.0024482291,0.0020458528023046133
x39596_872_77229_16_05,0.0,0.004467925350323115
x19679_518_49359_9_2,0.0,0.004438012525952978
x38829_690_74969_15_72,0.0,0.004277319855751082
x40170_1002_84881_16_288,0.0,0.004229055816314514
x38098_634_64756_15_436,0.0,0.004219605318297432
x38197_538_59253_15_455,0.0005565997,0.0035923740661369125
x37944_820_73708_15_311,0.0,0.004147389887083851
x37099_894_75125_15_027,0.0,0.00413603976168499
x18005_901_56667_8_515,0.0,0.003956528597437214
x20534_780_58745_9_776,0.0,0.0039280569779533425
x20246_818_60649_9_562,0.0,0.0038988094555487186
x30506_632_59866_13_341,0.0,0.0038790919036372053
x21822_748_52661_10_396,0.0,0.003871690558059278
x37993_897_7712_15_373,0.0,0.0038266728173709736
x29010_632_59734_12_997,0.0,0.0038199818323807555
x17374_787_54278_8_267,0.0,0.003765442123207267
x38057_896_76733_15_388,0.0,0.003730121399742354
x33703_610_6141_14_071,0.0,0.0037165246009849915
x36868_1276_35483_14_967,0.0,0.0037001524126663464
x28054_994_72721_12_734,0.0,0.003674755886141093
x36708_942_75406_14_916,0.0,0.003646461654762009
x30358_341_30461_13_303,0.0,0.003635946500358716
x39091_950_81423_15_819,0.0,0.003632053999487462
x23090_820_6217_11_094,0.0,0.0036187153381721407
x40095_952_83202_16_28,0.0,0.003616621311326785
x37469_1352_37362_15_177,0.0,0.003590819430675952
x29945_1020_83064_13_242,0.0,0.003571129298168398
x40387_864_80264_16_409,0.0,0.003559592473914804
x27434_928_72021_12_606,0.0,0.003554814553876183
x40029_929_83521_16_292,0.0,0.003552627765993736
x40856_954_84718_16_66,0.0,0.0035467989995008643
x37534_873_69332_15_201,0.0,0.003544822459335822
x41261_857_75758_16_972,0.0,0.003542723069868049
