"tested_variable","term","Df","SumOfSqs","R2","F","Pr"
"bleaching","Model",3,16.9014435115082,0.167210780177191,34.4009980618157,0.001
"host_class","Model",9,30.3287302605453,0.232097485340075,19.6125779641344,0.001
"host_genus","Model",59,74.7938517115965,0.612188094114844,13.5382411745604,0.001
"host_order","Model",19,36.7652082886375,0.281860497533808,11.836584933578,0.001
"host_phylum","Model",6,26.6119918769306,0.202060491210418,24.9007367310731,0.001
"host_species","Model",77,71.4531689796716,0.67356842985212,11.3622594269282,0.001
"location","Model",4,46.5736008361684,0.361370964539137,82.3317958014557,0.001
"symbiont.potential","Model",3,38.3494805013527,0.312650661393229,85.2112416175209,0.001
