"percent_in_corals","metabolite","ubiquity_overall","avg_abundance","n_corals_present","n_corals_total"
83.9729119638826,"x40256_908_80758_16_341",62.3115577889447,98102.3687365158,372,443
83.5214446952596,"x40661_850_7868_16_556",61.9765494137353,3262304.71618861,370,443
83.5214446952596,"x40077_924_80245_16_253",61.9765494137353,2822011.35784238,370,443
83.5214446952596,"x40099_884_8047_16_271",61.9765494137353,150547.757117588,370,443
83.2957110609481,"x40629_876_80182_16_545",61.8090452261307,2387919.47322294,369,443
83.2957110609481,"x39973_824_76535_16_179",61.8090452261307,403244.710773535,369,443
83.0699774266366,"x40805_952_8339_16_653",61.641541038526,559613.658620938,368,443
83.0699774266366,"x40690_852_79704_16_58",61.641541038526,335511.394578727,368,443
82.8442437923251,"x40654_878_81475_16_557",61.4740368509213,1517084.66353434,367,443
82.8442437923251,"x40839_912_83735_16_673",61.4740368509213,132545.234045226,367,443
82.6185101580135,"x40828_884_80748_16_617",61.3065326633166,367675.675645896,366,443
82.392776523702,"x39849_850_78309_16_147",61.1390284757119,1580756.02102027,365,443
82.392776523702,"x41213_878_8186_16_932",61.1390284757119,1069143.3759665,365,443
82.392776523702,"x41194_904_83387_16_917",61.1390284757119,714077.536993301,365,443
82.392776523702,"x40695_824_77092_16_584",61.1390284757119,394368.975686433,365,443
82.1670428893905,"x40747_902_81778_16_618",60.9715242881072,1009385.87424205,364,443
82.1670428893905,"x40133_856_77677_16_265",60.9715242881072,333299.295323115,364,443
81.941309255079,"x40912_928_83443_16_707",60.8040201005025,734121.39476717,363,443
81.941309255079,"x40643_926_81708_16_502",60.8040201005025,187050.152545394,363,443
81.7155756207675,"x41205_906_84716_16_929",60.6365159128978,632958.415863147,362,443
81.7155756207675,"x40001_978_84602_16_241",60.6365159128978,419803.434593635,362,443
81.7155756207675,"x41233_912_83892_16_95",60.6365159128978,223426.993519598,362,443
81.489841986456,"x40143_926_81384_16_293",60.4690117252931,914001.844564489,361,443
81.489841986456,"x40652_879_81886_16_559",60.4690117252931,750318.206284088,361,443
81.489841986456,"x39933_851_7874_16_155",60.4690117252931,680915.335392462,361,443
81.489841986456,"x38087_949_80269_15_411",60.4690117252931,360819.981497488,361,443
81.489841986456,"x41236_880_82891_16_953",60.4690117252931,130719.956835846,361,443
81.489841986456,"x41256_852_80258_16_969",60.4690117252931,103999.028264154,361,443
81.2641083521445,"x39847_822_75508_16_151",60.3015075376884,3025100.78076834,360,443
81.2641083521445,"x40619_904_83031_16_541",60.3015075376884,932777.30748911,360,443
81.2641083521445,"x36708_942_75406_14_916",60.3015075376884,873183.953008375,360,443
81.2641083521445,"x38868_796_73471_15_724",60.3015075376884,425629.322944389,360,443
81.2641083521445,"x40682_905_83452_16_541",60.3015075376884,410396.196552764,360,443
81.2641083521445,"x41277_914_85207_16_98",60.3015075376884,289757.199479733,360,443
81.2641083521445,"x41255_881_83319_16_958",60.3015075376884,62629.2382172529,360,443
81.038374717833,"x37328_918_7549_15_129",60.1340033500838,2928068.99041373,359,443
81.038374717833,"x39091_950_81423_15_819",60.1340033500838,877231.575656615,359,443
