"tested_variable","term","Df","SumOfSqs","R2","F","Pr"
"bleaching","Model",3,16.1464478437571,0.123082492813031,24.048024581332,0.001
"host_class","Model",9,31.380461188604,0.187709338978143,14.9949408811826,0.001
"host_genus","Model",59,92.2426476199511,0.588764365305416,12.27861215267,0.001
"host_order","Model",19,40.9027384467143,0.245108065576066,9.79205486734314,0.001
"host_phylum","Model",6,25.913929751034,0.153869498116505,17.8819941066329,0.001
"host_species","Model",77,91.3401918994717,0.668326084626432,11.0956366317524,0.001
"location","Model",3,35.5094581563709,0.215105949473054,53.2584699207057,0.001
"symbiont.potential","Model",3,41.0121301777505,0.260240495684183,65.9021198651931,0.001
