"","Df","SumOfSqs","R2","F","Pr(>F)"
"group_hexocto",1,10.1397312777001,0.0769893171540395,49.6295921141559,0.001
"Residual",595,121.563362768616,0.92301068284596,NA,NA
"Total",596,131.703094046316,1,NA,NA
