"","Df","SumOfSqs","R2","F","Pr(>F)"
"group_hexocto",1,10.504477289658,0.0903348692848547,59.0868501051953,0.001
"Residual",595,105.779271973696,0.909665130715143,NA,NA
"Total",596,116.283749263355,1,NA,NA
