,metabolite,importance_mean,importance_std,feature_set,model
69,x3156_482_36064_2_937,-0.0020467836257310004,0.0037101103919443164,Host_KBest,XGBoost
70,x19279_643_51751_9_054,0.0,0.0,Host_KBest,XGBoost
71,x6124_510_39212_3_959,0.0,0.0,Host_KBest,XGBoost
72,x23789_794_60652_11_52,0.0,0.0,Host_KBest,XGBoost
73,x24987_796_62223_11_912,0.0,0.0,Host_KBest,XGBoost
74,x26021_752_55957_12_218,0.0,0.0,Host_KBest,XGBoost
75,x22281_518_49367_10_602,0.0,0.0,Host_KBest,XGBoost
76,x23174_724_5283_11_167,0.0,0.0,Host_KBest,XGBoost
77,x19255_518_49318_9_043,0.0,0.0,Host_KBest,XGBoost
78,x22257_558_48585_10_595,0.0,0.0,Host_KBest,XGBoost
79,x24838_770_60774_11_835,0.0,0.0,Host_KBest,XGBoost
80,x3140_504_34195_2_931,0.0,0.0,Host_KBest,XGBoost
81,x21481_743_57811_10_286,-0.003216374269005858,0.004227143945848247,Host_KBest,XGBoost
82,x19261_1286_02582_9_046,0.0,0.0,Host_KBest,XGBoost
83,x26387_806_61119_12_325,0.0,0.0,Host_KBest,XGBoost
84,x6689_344_35256_4_145,-0.007017543859649145,0.0035087719298245723,Host_KBest,XGBoost
85,x31046_620_59826_13_466,0.1833333333333333,0.02876961194486093,Host_KBest,XGBoost
86,x30258_690_60437_13_288,-0.002339181286549715,0.0038790933220531113,Host_KBest,XGBoost
87,x23028_752_59618_11_083,0.0,0.0,Host_KBest,XGBoost
88,x21104_667_51515_9_991,0.0,0.0,Host_KBest,XGBoost
89,x24082_750_54463_11_628,0.02076023391812863,0.010497849749132294,Host_KBest,XGBoost
90,x29160_618_58231_13_036,0.0,0.0,Host_KBest,XGBoost
91,x34772_648_7388_14_298,0.04941520467836256,0.014231688331740301,Host_KBest,XGBoost
92,x6270_488_31164_4_015,0.0,0.0,Host_KBest,XGBoost
93,x17026_731_53528_8_146,0.0,0.0,Host_KBest,XGBoost
94,x21089_682_59818_10_006,0.0,0.0,Host_KBest,XGBoost
95,x4177_524_37207_3_374,0.0,0.0,Host_KBest,XGBoost
96,x28474_866_66505_12_86,0.0,0.0,Host_KBest,XGBoost
97,x5847_508_37732_3_864,0.0,0.0,Host_KBest,XGBoost
98,x15427_747_52933_7_566,0.0,0.0,Host_KBest,XGBoost
99,x46_234_12364_0_643,0.0,0.0,Host_KBest,XGBoost
100,x20915_662_53175_9_914,0.0,0.0,Host_KBest,XGBoost
101,x2695_572_37207_2_621,0.0,0.0,Host_KBest,XGBoost
102,x13931_638_53599_6_821,-0.00672514619883043,0.0037101103919443164,Host_KBest,XGBoost
103,x21489_530_49376_10_208,0.0,0.0,Host_KBest,XGBoost
104,x11174_708_4958_5_756,-0.0052631578947368585,0.004297350425935413,Host_KBest,XGBoost
105,x21817_804_58699_10_362,0.0,0.0,Host_KBest,XGBoost
106,x15214_800_50547_7_387,-0.0014619883040935717,0.005106505613033052,Host_KBest,XGBoost
107,x2601_401_34489_2_466,0.0,0.0,Host_KBest,XGBoost
108,x24266_681_50699_11_696,0.0,0.0,Host_KBest,XGBoost
109,x15248_654_56589_7_434,-0.007894736842105288,0.0026315789473684292,Host_KBest,XGBoost
