metabolite,ubiquity_percent,n_samples_present,total_samples,avg_intensity_overall,max_intensity
x29576_594_58226_13_129,95.07042253521126,540,568,126729.8102151408,3042535.5
x36885_590_62391_14_963,95.07042253521126,540,568,36401.48725862677,316228.47
x6315_538_38706_4_031,95.07042253521126,540,568,630428.3571661974,13176210
x20945_808_58514_9_921,94.8943661971831,539,568,17206760.173471287,191313780
x2173_496_34031_2_192,94.8943661971831,539,568,720558.4103630281,13080367
x24752_732_5909_11_842,94.8943661971831,539,568,3979337.0980889066,61569040
x38259_898_78379_15_478,94.8943661971831,539,568,1403992.5212130286,13383206
x19525_794_57465_9_194,94.71830985915493,538,568,928663.2340133811,13505844
x27615_824_65407_12_621,94.71830985915493,538,568,5250060.221985913,76230740
x27886_568_56741_12_697,94.71830985915493,538,568,73138.87871461273,2465441
x3140_504_34195_2_931,94.71830985915493,538,568,1726592.3894894365,4701219
x35691_816_70708_14_585,94.71830985915493,538,568,289979.4343362676,3773074.5
x36096_895_75583_14_771,94.71830985915493,538,568,530164.4001360914,5123834
x4177_524_37207_3_374,94.71830985915493,538,568,781333.2792447183,10516068
x17531_380_38859_8_317,94.54225352112677,537,568,54432.22504771127,530141.4
x23917_560_50173_11_563,94.54225352112677,537,568,286373.5782994718,2050497.1
x24094_744_59071_11_633,94.54225352112677,537,568,1140518.4953746472,9877081
x25672_720_59057_12_099,94.54225352112677,537,568,959300.6014133799,17559690
x26336_604_56644_12_314,94.54225352112677,537,568,550184.7281542254,3122593.8
x28198_574_55625_12_781,94.54225352112677,537,568,537835.0657802817,5787808
x30506_632_59866_13_341,94.54225352112677,537,568,1799600.0238885556,46605956
x3523_508_37638_3_101,94.54225352112677,537,568,948440.7748114432,15659433
x9581_312_32619_5_106,94.36619718309859,536,568,71899.0633096831,650807.9
x16964_784_52465_8_108,94.19014084507043,535,568,2103628.1085649645,11772078
x18452_780_55417_8_663,94.19014084507043,535,568,5639391.9361383775,72499440
x22065_808_58522_10_474,94.19014084507043,535,568,3981976.968649824,44409908
x24973_784_62164_11_93,94.19014084507043,535,568,340958.89541302825,7936248
x25926_794_60382_12_201,94.19014084507043,535,568,284509.30634683097,7148866.5
x27741_832_62625_12_657,94.19014084507043,535,568,256125.71321073943,1995535.9
x27815_780_63749_12_669,94.19014084507043,535,568,701065.1253586271,8184854
x1430_568_33966_1_63,94.01408450704226,534,568,1349182.1848801055,30399212
x21652_742_57577_10_298,94.01408450704226,534,568,9268708.483657401,83070410
x23284_810_60134_11_227,94.01408450704226,534,568,7141802.705451938,72383800
x23528_756_59627_11_379,94.01408450704226,534,568,986982.4614561615,10810916
x24892_820_62069_11_882,94.01408450704226,534,568,5476233.046213731,82055870
x25734_822_63619_12_121,94.01408450704226,534,568,10191916.683702841,126346210
x26360_766_62066_12_319,94.01408450704226,534,568,2075106.6908767603,11238680
x35900_945_7715_14_701,94.01408450704226,534,568,615430.7108720067,8496843
x36835_920_76771_14_931,94.01408450704226,534,568,1099586.451176409,8406376
x20835_766_57513_9_851,93.83802816901408,533,568,2633181.188831339,119786580
x21746_820_58918_10_33,93.83802816901408,533,568,298256.76913820417,18287400
x24359_782_60661_11_724,93.83802816901408,533,568,5333430.56133715,44168550
x25659_824_64193_12_125,93.83802816901408,533,568,2295440.331879403,21952524
x29055_606_58214_13_01,93.83802816901408,533,568,501321.24831249996,3074765
x35792_918_75222_14_613,93.83802816901408,533,568,814742.2102757044,9866001
x35902_843_72546_14_682,93.83802816901408,533,568,334362.423540669,3126763
x365_219_17428_1_014,93.83802816901408,533,568,134707.6779392605,2217670
x18316_796_5898_8_595,93.66197183098592,532,568,2496675.0356558096,44009824
x19867_430_37839_9_32,93.66197183098592,532,568,185249.11286672534,1438185.4
x22190_556_53067_10_555,93.66197183098592,532,568,158865.0716628521,4872819
x24157_836_61649_11_652,93.66197183098592,532,568,8514647.234023424,61369840
x27982_604_56684_12_699,93.66197183098592,532,568,1755938.2580700703,18458580
x28313_748_6206_12_814,93.66197183098592,532,568,489126.89581232396,6154061
x38085_926_81123_15_466,93.66197183098592,532,568,383357.6886647887,11505844
x1177_372_31064_1_478,93.48591549295774,531,568,138075.89613397885,8672034
x23042_746_57598_11_096,93.48591549295774,531,568,838283.8750878519,25600758
x24951_818_60271_11_9,93.48591549295774,531,568,626338.8763797535,6409971.5
x25471_770_61358_12_022,93.48591549295774,531,568,928494.507843486,8980532
x28640_617_5125_12_9,93.48591549295774,531,568,65622.40499929579,516912.8
x5091_482_32527_3_667,93.48591549295774,531,568,563654.1719114436,7579073.5
x17948_659_51273_8_479,93.30985915492957,530,568,5217372.856991199,51407680
x20849_732_55336_9_863,93.30985915492957,530,568,2032586.11933116,74611650
x21661_780_59178_10_306,93.30985915492957,530,568,4412397.556638906,114085990
x25147_576_53552_11_946,93.30985915492957,530,568,233454.43273978878,4901442
x25995_838_63234_12_215,93.30985915492957,530,568,6414409.933885037,42738428
x26806_772_62304_12_411,93.30985915492957,530,568,1931484.6115496445,55560740
x27012_810_63907_12_479,93.30985915492957,530,568,1136787.228627465,25920442
x28965_869_72183_12_988,93.30985915492957,530,568,69640.30573573943,310227.5
x12396_354_37301_6_155,93.13380281690141,529,568,199114.62687500007,2516889.2
x14538_872_60438_7_095,93.13380281690141,529,568,6726516.953642604,101461864
x19255_518_49318_9_043,93.13380281690141,529,568,3271096.8789441865,18394128
x19278_762_53821_8_983,93.13380281690141,529,568,157664.45373292253,1087593.5
x20473_788_55523_9_685,93.13380281690141,529,568,1177105.5242278168,3682056
x23646_782_60635_11_462,93.13380281690141,529,568,1361872.9764832738,38899240
x2462_518_32165_2_454,93.13380281690141,529,568,930795.610521127,4528737
x31750_634_61382_13_623,93.13380281690141,529,568,1021624.601988204,13803848
x3635_581_39976_3_175,93.13380281690141,529,568,149988.03098309858,2654932.2
x36386_622_65089_14_812,93.13380281690141,529,568,31175.395329753523,342583.97
x38304_928_82985_15_531,93.13380281690141,529,568,233023.18640862682,5478456.5
x38483_927_81619_15_571,93.13380281690141,529,568,353727.5597577464,7906138
x38776_634_6867_15_697,93.13380281690141,529,568,266685.0370952462,1392241
x39221_980_8619_15_869,93.13380281690141,529,568,302424.7399160209,10271603
x19962_728_56711_9_399,92.95774647887323,528,568,940671.3273531696,14196373
x23059_747_57869_11_093,92.95774647887323,528,568,363371.9347366197,13080150
x25439_586_51817_12_031,92.95774647887323,528,568,104299.84491285212,1288383.8
x25740_808_62031_12_113,92.95774647887323,528,568,1920649.2057098574,182777570
x2760_426_35751_2_678,92.95774647887323,528,568,173946.98595757037,11336358
x28291_824_65392_12_805,92.95774647887323,528,568,3869013.1188741163,48590790
x28602_801_65749_12_87,92.95774647887323,528,568,526826.0769503524,6136865.5
x28976_812_66148_12_988,92.95774647887323,528,568,5353557.926841546,25229346
x31974_536_57702_13_731,92.95774647887323,528,568,461650.62072147883,7282405.5
x35308_892_73619_14_462,92.95774647887323,528,568,830334.8353940144,7831677.5
x4577_256_26329_3_506,92.95774647887323,528,568,15660.878311091548,74126.86
x669_399_21624_1_175,92.95774647887323,528,568,131111.23252253525,14047362
x9423_650_47809_5_05,92.95774647887323,528,568,91825.27536936618,2674305.8
x18861_714_55175_8_847,92.78169014084507,527,568,580940.3123008803,5627606
x19519_718_54594_9_187,92.78169014084507,527,568,311657.46279119723,6527307.5
x23512_757_6004_11_383,92.78169014084507,527,568,427280.1358461267,5276628
x24997_822_63381_11_918,92.78169014084507,527,568,1044167.2283239445,26274930
x25461_546_52575_12_038,92.78169014084507,527,568,205145.01688996475,3511556
x26370_829_68761_12_322,92.78169014084507,527,568,408632.4771575704,1490102.2
x27832_618_58246_12_68,92.78169014084507,527,568,274281.36937852105,2929203
x30298_826_67756_13_292,92.78169014084507,527,568,798170.5858829226,9140052
x5030_550_38718_3_656,92.78169014084507,527,568,618521.6651771126,8762431
x1853_570_35647_1_935,92.6056338028169,526,568,493545.64397323946,12600069
x22804_780_58887_10_928,92.6056338028169,526,568,1908644.7373582753,89627830
x22872_718_57569_10_977,92.6056338028169,526,568,1493227.6920360914,31039112
x26492_590_55072_12_355,92.6056338028169,526,568,333222.36480933096,4473942
x27488_760_62279_12_548,92.6056338028169,526,568,2243319.922545772,25813022
x27791_820_62721_12_667,92.6056338028169,526,568,741863.100759155,2283926.5
x29010_632_59734_12_997,92.6056338028169,526,568,622457.7926012325,4841720.5
x30556_650_6087_13_352,92.6056338028169,526,568,666250.9412389084,8995745
x3160_494_35883_2_94,92.6056338028169,526,568,366959.08676373254,18653056
x37560_974_8122_15_215,92.6056338028169,526,568,343942.4396595071,5075315.5
x23261_550_51993_11_214,92.42957746478874,525,568,1218262.6581848597,11385759
x25393_812_61745_12_015,92.42957746478874,525,568,1593305.7446695436,17526502
x26229_618_54515_12_277,92.42957746478874,525,568,177205.3356630282,4689210.5
x27782_855_70257_12_668,92.42957746478874,525,568,122206.02041725352,955085.8
x27953_622_57686_12_709,92.42957746478874,525,568,881696.2554505279,11832415
x28192_614_54849_12_78,92.42957746478874,525,568,171993.2959371479,1946220.8
x29217_636_59251_13_048,92.42957746478874,525,568,305608.15707359154,4391449
x29980_718_63463_13_294,92.42957746478874,525,568,341429.5230385564,2654937
x23241_834_60089_11_204,92.25352112676056,524,568,3705348.289919192,71374616
x23773_816_58652_11_512,92.25352112676056,524,568,685620.7454061619,3021075.8
x24830_658_5405_11_86,92.25352112676056,524,568,1310388.0664389075,29978604
x25126_808_623_11_947,92.25352112676056,524,568,1302439.9271989432,25601386
x36770_946_7829_14_935,92.25352112676056,524,568,655248.1762931335,6650022.5
x5999_327_33686_3_913,92.25352112676056,524,568,245332.82531989444,1509469.1
x16494_368_38849_7_868,92.0774647887324,523,568,24472.410474295775,366043.8
x21086_645_53352_9_984,92.0774647887324,523,568,5025753.379380284,46659396
x2325_414_32153_2_328,92.0774647887324,523,568,165744.48266144368,3565320.8
x23260_532_50935_11_213,92.0774647887324,523,568,1019691.5599577468,14809422
x26412_822_63888_12_333,92.0774647887324,523,568,3068326.0365283443,56786070
x26910_799_64084_12_459,92.0774647887324,523,568,2691915.721260034,27666244
x27790_843_70444_12_67,92.0774647887324,523,568,172366.50360580985,817035.9
x30561_596_59924_13_356,92.0774647887324,523,568,49076.29613697184,1172347.5
x30745_582_58325_13_396,92.0774647887324,523,568,122669.30346584512,8113586.5
x39321_930_84806_15_923,92.0774647887324,523,568,203350.418162148,5140306
x7813_413_34163_4_483,92.0774647887324,523,568,375237.0979683098,7939302.5
x12075_793_48626_6_064,91.90140845070422,522,568,1435264.888381338,4792034
x20696_552_4997_9_8,91.90140845070422,522,568,362279.345218662,8731206
x20801_812_55395_9_847,91.90140845070422,522,568,812316.5368508802,18927104
x22869_771_59779_10_97,91.90140845070422,522,568,1959752.3178764083,9176612
x25192_792_59597_11_995,91.90140845070422,522,568,253632.14335440143,1321714.9
x28995_857_72056_12_993,91.90140845070422,522,568,300209.7184982394,1464199.4
x30907_776_65366_13_435,91.90140845070422,522,568,96062.21666109154,3126364
x377_277_17956_1_013,91.90140845070422,522,568,493821.3634910213,5972001.5
x38036_606_65523_15_389,91.90140845070422,522,568,1434365.6545311597,6299412
x38062_902_81341_15_435,91.90140845070422,522,568,411045.5866075703,5279895.5
x13793_512_46819_6_76,91.72535211267606,521,568,59400.83810528169,515233.12
x20846_813_55686_9_85,91.72535211267606,521,568,355266.14537112677,8803744
x22037_768_59132_10_443,91.72535211267606,521,568,2461781.0698239445,86582730
x23859_915_59649_11_544,91.72535211267606,521,568,399282.2531380282,3033353.2
x25771_768_58775_12_155,91.72535211267606,521,568,239419.5503112676,1636718.4
x30603_672_59076_13_353,91.72535211267606,521,568,277832.7657334507,1990926.2
x3209_438_29793_2_975,91.72535211267606,521,568,1572580.9910475363,50968070
x5733_583_41515_3_829,91.72535211267606,521,568,960206.8124579225,15680387
x11192_791_46977_5_681,91.54929577464789,520,568,2474135.421360387,7615405
x18854_736_53339_8_842,91.54929577464789,520,568,595127.7362637324,3081002
x20385_770_58104_9_654,91.54929577464789,520,568,218883.79650246477,1855690.8
x22416_784_58602_10_678,91.54929577464789,520,568,2544730.3760554595,36175010
x22950_816_5873_11_027,91.54929577464789,520,568,604941.7354551055,3313555.8
x23286_572_50194_11_228,91.54929577464789,520,568,344474.0340658451,2241764.5
x23505_778_58187_11_377,91.54929577464789,520,568,574792.9007926057,3103947.8
x23738_780_58967_11_466,91.54929577464789,520,568,1438546.5851311616,32517576
x26021_752_55957_12_218,91.54929577464789,520,568,20541668.631477647,98782660
x26387_806_61119_12_325,91.54929577464789,520,568,1229077.4659670778,3830011.5
x26398_797_63192_12_335,91.54929577464789,520,568,282869.1100487676,2947348.5
x28738_588_5718_12_997,91.54929577464789,520,568,343356.9065105635,2720933.2
x28984_794_65144_12_988,91.54929577464789,520,568,2452344.4097802825,13995582
x29153_834_64268_13_004,91.54929577464789,520,568,947791.8761450709,3032914.8
x29224_658_57446_13_049,91.54929577464789,520,568,115428.73574014084,1573187.1
x3385_440_31357_3_054,91.54929577464789,520,568,753563.8229908448,31775714
x4553_314_34144_3_5,91.54929577464789,520,568,44467.31382852113,772854.4
x16758_654_56689_8_032,91.37323943661971,519,568,972666.7002922536,8732114
x22303_780_5908_10_61,91.37323943661971,519,568,9660796.4763396,178083300
x22309_590_51426_10_608,91.37323943661971,519,568,570408.0048538732,8653127
x22744_536_50369_10_885,91.37323943661971,519,568,151778.3403112676,1920684.2
x26909_548_54092_12_45,91.37323943661971,519,568,84575.8177637324,3113913
x27475_786_63815_12_566,91.37323943661971,519,568,566099.935411091,18821738
x27800_636_59332_12_675,91.37323943661971,519,568,98446.16963838026,663419.8
x29022_650_60824_12_999,91.37323943661971,519,568,242365.80839278168,1347568.2
x29129_648_59213_13_033,91.37323943661971,519,568,224591.32832570438,16426010
x3125_566_31156_2_926,91.37323943661971,519,568,52754.01097869718,167627.23
x37609_925_80051_15_264,91.37323943661971,519,568,977038.734701056,18208432
x6125_600_36137_3_957,91.37323943661971,519,568,74704.9663431338,308474.12
x7740_546_39009_4_463,91.37323943661971,519,568,276137.3323420775,4030421.8
x12184_352_35715_6_084,91.19718309859155,518,568,22369.893476760564,120204.54
x16253_654_56697_7_789,91.19718309859155,518,568,1034169.9086399644,9207459
x20343_726_58788_9_618,91.19718309859155,518,568,424975.47736514086,7677468
x20455_680_52366_9_671,91.19718309859155,518,568,190378.68760158453,3881173.2
x26253_578_55115_12_289,91.19718309859155,518,568,130009.59450193662,905898
x27976_648_59169_12_72,91.19718309859155,518,568,74197.37177077465,784298
x30258_690_60437_13_288,91.19718309859155,518,568,2436529.3978857403,36176536
x30478_828_68447_13_327,91.19718309859155,518,568,155565.40941514084,4278266.5
x3093_520_31559_2_932,91.19718309859155,518,568,153204.08859700704,582971.7
x36137_920_76616_14_759,91.19718309859155,518,568,596764.1438778167,10080936
x36349_970_7825_14_831,91.19718309859155,518,568,610878.1778105631,4457231.5
x6072_548_34706_3_947,91.19718309859155,518,568,123760.18950704226,490196.28
x6162_1020_77888_3_959,91.19718309859155,518,568,577832.8175232394,10889256
x6306_583_4148_4_017,91.19718309859155,518,568,1136650.0732551054,13242726
x13734_626_53627_6_734,91.02112676056338,517,568,862515.5389227112,23736682
x20695_534_48856_9_8,91.02112676056338,517,568,519335.4467742957,17571936
x28209_620_56006_12_784,91.02112676056338,517,568,225322.4791130282,3007790.8
x30287_848_65893_13_29,91.02112676056338,517,568,375197.68355968315,2237555.8
x6670_411_32621_4_14,91.02112676056338,517,568,394052.4837637324,4474140.5
x1285_365_26859_1_54,90.84507042253522,516,568,364524.0385181338,7571410
x17410_654_56765_8_283,90.84507042253522,516,568,681007.5820545774,7638163.5
x20145_534_48872_9_502,90.84507042253522,516,568,1140756.255822887,19421138
x22268_1093_9823_10_598,90.84507042253522,516,568,908702.6485193662,7400954.5
x23368_794_60665_11_242,90.84507042253522,516,568,3231090.2667170768,157995200
x23455_766_57488_11_361,90.84507042253522,516,568,492392.0962690141,3020333.2
x24204_792_58694_11_696,90.84507042253522,516,568,345424.23711919016,2437203.5
x26314_840_63937_12_242,90.84507042253522,516,568,530923.8725234157,3710970.2
x26357_841_68841_12_32,90.84507042253522,516,568,95775.32779436618,504864.94
x26366_622_57713_12_322,90.84507042253522,516,568,202254.24931602113,1005052.7
x29442_506_53013_13_115,90.84507042253522,516,568,99727.3385586268,4160114
x34821_916_73537_14_333,90.84507042253522,516,568,386312.7986464788,3456561
x35337_919_75562_14_494,90.84507042253522,516,568,420918.1488323943,3615773.5
x35350_790_69172_14_469,90.84507042253522,516,568,253886.20578327467,5965773
x15278_640_55143_7_411,90.66901408450704,515,568,1009701.1350438381,39099868
x15399_652_5517_7_463,90.66901408450704,515,568,380728.47688380285,10165268
x16835_754_53837_8_063,90.66901408450704,515,568,1683604.899350529,35961444
x1740_502_29333_1_794,90.66901408450704,515,568,739836.6132489436,10696995
x17985_768_56198_8_495,90.66901408450704,515,568,1564195.4150389081,33243248
x19613_756_55449_9_225,90.66901408450704,515,568,6398158.61207941,103228000
