"percent_in_corals","metabolite","ubiquity_overall","avg_abundance","n_corals_present","n_corals_total"
85.7476635514019,"x40256_908_80758_16_341",64.612676056338,102883.140793486,367,428
84.3457943925234,"x40099_884_8047_16_271",63.556338028169,157427.725777641,361,428
84.1121495327103,"x40661_850_7868_16_556",63.3802816901408,3415883.57094119,360,428
84.1121495327103,"x40077_924_80245_16_253",63.3802816901408,2949786.67287835,360,428
83.8785046728972,"x40629_876_80182_16_545",63.2042253521127,2503541.60938222,359,428
83.8785046728972,"x40805_952_8339_16_653",63.2042253521127,585335.289427817,359,428
83.8785046728972,"x39973_824_76535_16_179",63.2042253521127,419269.220654578,359,428
83.8785046728972,"x40839_912_83735_16_673",63.2042253521127,138515.888545775,359,428
83.6448598130841,"x40828_884_80748_16_617",63.0281690140845,385113.058785211,358,428
83.6448598130841,"x40690_852_79704_16_58",63.0281690140845,346279.313087147,358,428
83.411214953271,"x40654_878_81475_16_557",62.8521126760563,1585667.02066901,357,428
82.9439252336449,"x39849_850_78309_16_147",62.5,1653916.9574632,355,428
82.9439252336449,"x41213_878_8186_16_932",62.5,1119231.62221303,355,428
82.9439252336449,"x41194_904_83387_16_917",62.5,748605.709580985,355,428
82.9439252336449,"x40695_824_77092_16_584",62.5,407891.263177465,355,428
82.9439252336449,"x40133_856_77677_16_265",62.5,348815.453436972,355,428
82.9439252336449,"x41233_912_83892_16_95",62.5,234171.407296126,355,428
82.9439252336449,"x40643_926_81708_16_502",62.5,195901.74101162,355,428
82.7102803738318,"x40747_902_81778_16_618",62.3239436619718,1058628.02889877,354,428
82.7102803738318,"x40912_928_83443_16_707",62.3239436619718,768971.729885562,354,428
82.4766355140187,"x36708_942_75406_14_916",62.1478873239437,916128.11844366,353,428
82.4766355140187,"x40001_978_84602_16_241",62.1478873239437,438661.578462852,353,428
82.4766355140187,"x38087_949_80269_15_411",62.1478873239437,377722.29725,353,428
82.2429906542056,"x41205_906_84716_16_929",61.9718309859155,661615.016435388,352,428
82.2429906542056,"x39485_1028_86118_16_01",61.9718309859155,97138.630012324,352,428
82.0093457943925,"x37328_918_7549_15_129",61.7957746478873,3072370.61876409,351,428
82.0093457943925,"x40143_926_81384_16_293",61.7957746478873,957592.845146127,351,428
82.0093457943925,"x40652_879_81886_16_559",61.7957746478873,783702.099522183,351,428
82.0093457943925,"x39933_851_7874_16_155",61.7957746478873,711796.50125581,351,428
82.0093457943925,"x41277_914_85207_16_98",61.7957746478873,303304.32811514,351,428
82.0093457943925,"x40753_978_84892_16_622",61.7957746478873,287167.182600704,351,428
82.0093457943925,"x40764_1006_87778_16_622",61.7957746478873,138189.5079875,351,428
82.0093457943925,"x41236_880_82891_16_953",61.7957746478873,135368.3145,351,428
82.0093457943925,"x41256_852_80258_16_969",61.7957746478873,107589.728672007,351,428
81.7757009345794,"x39847_822_75508_16_151",61.6197183098592,3170429.82210158,350,428
81.7757009345794,"x40619_904_83031_16_541",61.6197183098592,975945.808646129,350,428
81.7757009345794,"x40908_956_86271_16_719",61.6197183098592,445804.540464789,350,428
81.7757009345794,"x38868_796_73471_15_724",61.6197183098592,444260.668982042,350,428
81.7757009345794,"x40682_905_83452_16_541",61.6197183098592,428948.64784155,350,428
81.7757009345794,"x40717_886_81987_16_596",61.6197183098592,366688.98999824,350,428
81.7757009345794,"x41557_906_85001_17_283",61.6197183098592,171904.961042253,350,428
81.7757009345794,"x40709_910_82287_16_592",61.6197183098592,145468.687900528,350,428
81.7757009345794,"x41255_881_83319_16_958",61.6197183098592,64922.5503110915,350,428
81.5420560747664,"x39091_950_81423_15_819",61.443661971831,916116.288510564,349,428
81.5420560747664,"x40597_928_83123_16_485",61.443661971831,514969.512315141,349,428
81.5420560747664,"x41273_886_82369_16_981",61.443661971831,469170.5335,349,428
81.5420560747664,"x41188_932_86258_16_913",61.443661971831,363261.5832125,349,428
81.5420560747664,"x40657_855_74096_16_558",61.443661971831,339435.941745598,349,428
81.5420560747664,"x41165_907_85092_16_929",61.443661971831,338338.617857747,349,428
81.5420560747664,"x38819_974_81485_15_71",61.443661971831,277721.148464613,349,428
81.5420560747664,"x40613_881_75541_16_535",61.443661971831,216750.546233275,349,428
81.5420560747664,"x41209_883_77291_16_932",61.443661971831,186859.09886831,349,428
81.5420560747664,"x39456_978_84499_16_003",61.443661971831,133685.852654401,349,428
81.5420560747664,"x41010_910_82416_16_777",61.443661971831,113115.367286268,349,428
81.5420560747664,"x40035_1028_86237_16_235",61.443661971831,45659.7011991197,349,428
81.5420560747664,"x41261_857_75758_16_972",61.443661971831,24481.3465422535,349,428
81.3084112149533,"x39888_848_77057_16_173",61.2676056338028,3410483.06872711,348,428
81.3084112149533,"x37540_894_75402_15_211",61.2676056338028,1222079.59253873,348,428
81.3084112149533,"x40713_858_79187_16_592",61.2676056338028,734171.879496478,348,428
81.3084112149533,"x39160_951_81841_15_822",61.2676056338028,535302.938492958,348,428
81.3084112149533,"x39455_952_83005_15_988",61.2676056338028,415330.162125,348,428
81.3084112149533,"x39030_976_8302_15_797",61.2676056338028,374115.461244719,348,428
81.3084112149533,"x39700_903_81851_16_155",61.2676056338028,238619.304642078,348,428
81.3084112149533,"x40689_853_80106_16_577",61.2676056338028,192149.760556338,348,428
81.3084112149533,"x41385_956_8657_17_079",61.2676056338028,181676.048049296,348,428
81.3084112149533,"x40042_878_80706_16_18",61.2676056338028,173764.558105634,348,428
81.3084112149533,"x39294_1002_84447_15_919",61.2676056338028,148335.01365493,348,428
81.3084112149533,"x30438_389_30448_13_307",61.2676056338028,71516.3520554577,348,428
81.0747663551402,"x39288_846_75538_15_912",61.0915492957746,7031808.69296829,347,428
81.0747663551402,"x39976_874_78599_16_215",61.0915492957746,3242994.70203522,347,428
