"percent_in_corals","metabolite","ubiquity_overall","avg_abundance","n_corals_present","n_corals_total"
83.5214446952596,"X850",61.9765494137353,150066016.944676,370,443
83.2957110609481,"X876",61.8090452261307,85965101.0360262,369,443
83.0699774266366,"X852",61.641541038526,12413921.5994129,368,443
82.8442437923251,"X878",61.4740368509213,54615047.8872362,367,443
81.941309255079,"X928",60.8040201005025,26428370.2116181,363,443
81.7155756207675,"X906",60.6365159128978,29116087.1297049,362,443
81.489841986456,"X851",60.4690117252931,10894645.3662794,361,443
81.489841986456,"X879",60.4690117252931,9003818.47540905,361,443
81.489841986456,"X949",60.4690117252931,6494759.66695478,361,443
81.2641083521445,"X822",60.3015075376884,157305240.599954,360,443
81.2641083521445,"X942",60.3015075376884,34927358.1203351,360,443
81.2641083521445,"X904",60.3015075376884,34512760.3770972,360,443
81.2641083521445,"X905",60.3015075376884,11491093.5034774,360,443
81.038374717833,"X918",60.1340033500838,111266621.635722,359,443
81.038374717833,"X956",60.1340033500838,16197252.8896918,359,443
81.038374717833,"X855",60.1340033500838,4239652.30732746,359,443
81.038374717833,"X881",60.1340033500838,3322562.70385259,359,443
81.038374717833,"X883",60.1340033500838,2867533.28764355,359,443
80.8126410835214,"X848",59.9664991624791,146323095.600226,358,443
80.8126410835214,"X886",59.9664991624791,16563905.2363016,358,443
80.8126410835214,"X951",59.9664991624791,8718252.81212211,358,443
80.5869074492099,"X846",59.7989949748744,308213444.00916,357,443
80.5869074492099,"X818",59.7989949748744,153884636.340235,357,443
80.5869074492099,"X844",59.7989949748744,110080498.90209,357,443
80.5869074492099,"X924",59.7989949748744,80710041.7115108,357,443
80.5869074492099,"X874",59.7989949748744,68632423.3932393,357,443
80.5869074492099,"X898",59.7989949748744,43849602.1619766,357,443
80.5869074492099,"X902",59.7989949748744,37050347.8992932,357,443
80.5869074492099,"X926",59.7989949748744,34984135.2220402,357,443
80.5869074492099,"X858",59.7989949748744,28734704.6920855,357,443
80.5869074492099,"X930",59.7989949748744,18117116.0039062,357,443
80.5869074492099,"X899",59.7989949748744,15965629.7385226,357,443
80.5869074492099,"X901",59.7989949748744,13483925.3257487,357,443
80.5869074492099,"X827",59.7989949748744,5139420.71131658,357,443
80.5869074492099,"X849",59.7989949748744,4964920.09800502,357,443
80.5869074492099,"X853",59.7989949748744,4180924.64233667,357,443
